,T,Age,Sex,yo1,yo1CF,y1,y1CF,yo2,yo2CF,y2,y2CF,yo3,yo3CF,y3,y3CF
176,1.0,0.0,1.0,115.0,5.0,110.61065243226375,4.31724001915009,20.0,5.0,17.619007266054236,4.069660309721748,20.0,5.0,20.903597030898236,4.170573463284267
145,0.0,1.0,0.0,0.0,15.0,2.191118567860461,20.119196950963584,45.0,60.0,46.65311529757819,61.83837028578859,45.0,155.0,46.202193485225166,158.47002683323146
15,0.0,0.0,0.0,0.0,15.0,-0.13061668289646813,10.68277080568298,0.0,15.0,5.7593542452559685,16.43556298931938,0.0,15.0,4.071051112674433,11.428596706575586
420,1.0,0.0,1.0,115.0,5.0,111.55058361380783,3.727075543280113,20.0,5.0,19.097981882175286,7.984110724267071,20.0,5.0,23.62106811574128,5.260063666860157
57,0.0,1.0,0.0,0.0,15.0,-2.205694384397664,15.010238990931029,45.0,60.0,45.86237678553143,53.040299509768474,45.0,155.0,45.12889832683924,156.46844486030025
251,0.0,1.0,0.0,0.0,15.0,2.538017556019482,18.63846803731949,45.0,60.0,45.07833217331274,56.008929766506824,45.0,155.0,40.58372305517042,151.55033300745757
141,0.0,1.0,0.0,0.0,15.0,-2.273989926785268,14.425234731122334,45.0,60.0,45.84552084325571,57.7458673619684,45.0,155.0,46.52871263724272,149.76268428149794
390,1.0,0.0,1.0,115.0,5.0,113.0324452646853,5.7722953576580815,20.0,5.0,16.824727422656082,4.971635844996379,20.0,5.0,16.71308563760851,3.037946464249924
143,0.0,1.0,0.0,0.0,15.0,3.0224598104622324,15.357476650288081,45.0,60.0,49.28978594303299,63.43741488729104,45.0,155.0,47.123735086742876,155.83999820477794
348,1.0,0.0,1.0,115.0,5.0,114.35593465968473,4.672733666728382,20.0,5.0,19.684459454233583,6.249050860347913,20.0,5.0,17.711403705652618,6.156054468689012
202,0.0,1.0,1.0,5.0,115.0,5.006424809038843,114.04588689068964,145.0,160.0,145.71097664900478,159.01476628222971,50.0,160.0,47.34541683810365,158.99130850739473
