,T,Age,AgeTag,Sex,yo1,y1,yo1CF,y1CF,yo2,y2,yo2CF,y2CF,yo3,y3,yo3CF,y3CF
479,1.0,0.44,-1.0,-1.0,-55.0,-55.04745564571936,-75.0,-81.79822517551268,-21.2,-24.57461606446744,-91.2,-95.14772830645856,0.8000000000000007,-0.7130992052120486,-91.2,-83.30215802564332
443,1.0,0.04,-1.0,-1.0,-55.0,-47.87660682115271,-75.0,-83.23455974697922,-29.2,-30.814526236132707,-99.2,-97.77369894947016,-27.2,-33.36670570944099,-99.2,-97.32247370404772
125,1.0,0.42,-1.0,1.0,125.0,122.50458778969839,5.0,13.379098064045463,129.4,128.04446379404723,59.4,61.70043752397931,129.4,123.69289277892538,38.4,36.83836837435271
335,1.0,0.3,-1.0,-1.0,-55.0,-54.67260131239655,-75.0,-75.1721403254722,-24.0,-21.782464272472488,-94.0,-90.05428119280589,-9.0,-10.03935150129478,-94.0,-85.88730687249983
138,1.0,0.32,-1.0,1.0,125.0,130.96103099584633,5.0,-3.453670237989183,122.4,119.23492419650054,52.4,47.92158595978985,122.4,124.64033627647407,36.4,40.0275088197736
453,1.0,0.18,-1.0,-1.0,-55.0,-48.240273919466674,-75.0,-73.21256667441817,-26.4,-24.048885441414384,-96.4,-97.36981357737601,-17.4,-12.656073409420172,-96.4,-102.248778270941
212,1.0,0.02,-1.0,1.0,125.0,125.34386286265564,5.0,5.697036947995645,101.4,100.29425021733773,31.4,34.182799399094534,101.4,110.38207149950112,30.4,34.319862256647546
334,1.0,0.36,-1.0,-1.0,-55.0,-47.728964419596764,-75.0,-81.56536431249235,-22.8,-20.657607809226135,-92.8,-98.40351361226887,-4.800000000000001,-5.826144851648133,-92.8,-86.49366846081048
173,1.0,0.1,-1.0,1.0,125.0,129.21207075589234,5.0,9.223992520971493,107.0,109.81517594055873,37.0,38.183135667348154,107.0,108.77252945146913,32.0,35.50060927308619
133,1.0,0.5,-1.0,1.0,125.0,126.74606910393632,5.0,6.778935294099575,135.0,134.45181301090616,65.0,64.07850511351741,135.0,133.21979273056763,40.0,45.37303193506503
478,1.0,0.08,-1.0,-1.0,-55.0,-52.78518167693426,-75.0,-80.07978382494112,-28.4,-42.773997363928586,-98.4,-103.1105920648836,-24.4,-24.63408814138898,-98.4,-97.0215181001199
310,1.0,0.4,-1.0,-1.0,-55.0,-55.46713940821619,-75.0,-71.60072213181577,-22.0,-27.330332952685822,-92.0,-87.89792168385105,-2.0,-2.7713662889853174,-92.0,-89.86098375888831
390,1.0,0.28,-1.0,-1.0,-55.0,-51.61007033559945,-75.0,-72.12341190491864,-24.4,-17.28643884548513,-94.4,-95.8330278150876,-10.399999999999999,-12.4077855247848,-94.4,-93.28741789151763
218,1.0,0.34,-1.0,1.0,125.0,131.92762919664148,5.0,9.130431045873173,123.8,138.78873009361186,53.8,56.77985427658994,123.8,129.56441355644876,36.8,36.5357524514872
457,1.0,0.3,-1.0,-1.0,-55.0,-60.940722470004836,-75.0,-71.76840828066616,-24.0,-16.61478873580088,-94.0,-80.1168199112949,-9.0,-8.71507769362998,-94.0,-95.71939533753651
285,1.0,0.44,-1.0,-1.0,-55.0,-59.808079550604944,-75.0,-69.16979963092226,-21.2,-17.088168361529185,-91.2,-87.10376560391899,0.8000000000000007,0.1772481202113868,-91.2,-82.43062100192239
338,1.0,0.42,-1.0,-1.0,-55.0,-59.82357944287662,-75.0,-67.01377023087282,-21.6,-15.781573559924677,-91.6,-93.17840847872058,-0.6000000000000014,7.404968198409657,-91.6,-90.61529724273569
