,T,Age,AgeTag,Sex,yo1,y1,yo1CF,y1CF,yo2,y2,yo2CF,y2CF,yo3,y3,yo3CF,y3CF
237,1.0,0.04,-1.0,1.0,225.0,226.5166307369683,-95.0,-90.6575202971594,231.8,238.27241060918746,-88.2,-90.84023889685612,106.8,109.92068599568945,26.8,28.718781430366995
332,1.0,0.02,-1.0,-1.0,-155.0,-151.96148712089274,25.0,27.719282504762262,-156.6,-158.2494962208333,23.400000000000006,20.573863778524164,-26.6,-25.07639754659767,-101.6,-100.88457249601407
196,1.0,0.18,-1.0,1.0,225.0,222.16691152668707,-95.0,-99.02453512479916,255.6,256.27593601042304,-64.4,-68.49775805420346,130.6,132.15521345896894,15.600000000000001,14.688066082276725
43,1.0,0.46,-1.0,1.0,225.0,223.92905782374723,-95.0,-96.16513634701322,303.2,299.01175345555527,-16.799999999999997,-23.49060503174986,178.2,175.7294951539516,-6.799999999999997,-6.635509723842054
369,1.0,0.24,-1.0,-1.0,-155.0,-154.47632866922925,25.0,26.216210340740066,-174.2,-172.51131349672514,5.799999999999997,11.787061766332828,10.799999999999997,10.155681202662766,-119.2,-121.0267324273199
396,1.0,0.24,-1.0,-1.0,-155.0,-152.97250685269816,25.0,26.993450670056834,-174.2,-174.0243206066448,5.799999999999997,6.131561099462298,10.799999999999997,12.557655491543429,-119.2,-117.22470088674362
429,1.0,0.16,-1.0,-1.0,-155.0,-154.12113614645992,25.0,24.81073009826541,-167.8,-169.07406190574213,12.200000000000003,15.61467023858711,-2.8000000000000007,-3.3552145355765752,-112.8,-109.73147963598123
484,-1.0,0.12,-1.0,-1.0,25.0,20.955350190559145,-155.0,-150.18731247150347,15.400000000000006,15.002248967880977,-164.6,-164.55688680541715,-109.6,-107.37793169555165,-9.600000000000001,-18.3744825449944
256,1.0,0.34,-1.0,-1.0,-155.0,-153.6462335085172,25.0,24.121032068125484,-182.2,-179.81720246071524,-2.200000000000017,-0.7239797430242481,27.8,27.843430964954155,-127.2,-124.62532109905737
374,1.0,0.04,-1.0,-1.0,-155.0,-151.87623551288985,25.0,28.459917780511898,-158.2,-162.89236267137906,21.799999999999997,27.297881121680426,-23.2,-26.188197607206078,-103.2,-104.16974845775529
220,1.0,0.12,-1.0,1.0,225.0,224.07096455098616,-95.0,-94.56959414729593,245.4,249.03407418128825,-74.6,-71.22146957697372,120.4,120.09988428694821,20.4,29.798064687775902
200,1.0,0.42,-1.0,1.0,225.0,221.15465469591155,-95.0,-97.73737475799555,296.4,294.66834815807897,-23.600000000000016,-21.572886046801695,171.4,173.5180479011152,-3.6000000000000014,-7.766304345195484
274,1.0,0.36,-1.0,-1.0,-155.0,-152.20932431167296,25.0,23.376597753820825,-183.79999999999998,-188.65325960097303,-3.799999999999997,-0.9630624055446382,31.2,32.26087107082955,-128.8,-131.45093772095385
16,1.0,0.22,-1.0,1.0,225.0,226.1997950088228,-95.0,-99.91678975046207,262.4,259.2435264846075,-57.6,-59.854363780947466,137.4,136.25733090166597,12.399999999999999,14.475483485919305
234,1.0,0.06,-1.0,-1.0,-155.0,-157.2619558407676,25.0,23.21385290128448,-159.8,-158.5928627872753,20.200000000000003,18.063198356467442,-19.8,-23.601288312554235,-104.8,-104.59010215170247
287,1.0,0.4,-1.0,-1.0,-155.0,-151.82605985340996,25.0,31.397364093185505,-187.0,-185.8047835434685,-7.0,-10.167796591392513,38.0,36.51060861962413,-132.0,-130.31539910730905
421,1.0,0.5,-1.0,-1.0,-155.0,-153.48984266214111,25.0,19.790918094345095,-195.0,-197.83804599570152,-15.0,-15.875281243818886,55.0,51.90806283989889,-140.0,-144.41123908596452
154,1.0,0.36,-1.0,1.0,225.0,222.10769288173086,-95.0,-93.01161961237132,286.2,289.3628063789206,-33.8,-29.36533887843017,161.2,161.9001815985842,1.2000000000000028,8.321251658298952
68,1.0,0.08,-1.0,1.0,225.0,232.07136984028176,-95.0,-95.04412049559103,238.6,239.5291730746036,-81.4,-82.12467779740477,113.6,112.80009927477802,23.6,22.849130710189492
198,1.0,0.02,-1.0,1.0,225.0,223.57906936212186,-95.0,-93.89589543933181,228.4,223.21492896576845,-91.6,-91.85401186348889,103.4,103.93104284750824,28.4,31.804812908728227
159,1.0,0.42,-1.0,1.0,225.0,217.11714103316913,-95.0,-97.97668799784155,296.4,295.9291414681277,-23.600000000000016,-27.692857757655354,171.4,171.1753364248648,-3.6000000000000014,-5.2507804700460925
209,1.0,0.02,-1.0,1.0,225.0,225.06845374804524,-95.0,-97.27684113614448,228.4,225.76347383198896,-91.6,-91.16875235718108,103.4,112.32387563156372,28.4,30.332124912040925
