,T,Age,AgeTag,Sex,yo1,y1,yo1CF,y1CF,yo2,y2,yo2CF,y2CF,yo3,y3,yo3CF,y3CF
212,1.0,0.14,-1.0,1.0,195.0,193.94788258985707,-65.0,-63.32562786221986,119.6,123.62388055162806,49.599999999999994,48.38693307001007,119.6,119.12094276667744,22.999999999999996,27.266759650405604
151,1.0,0.22,-1.0,-1.0,-125.0,-134.05488929104862,-5.0,-8.297994677915456,-41.0,-46.819630122476276,-111.0,-111.1716281491669,0.7999999999999972,6.119678166260757,-111.0,-113.99025734239916
0,1.0,0.24,-1.0,1.0,195.0,192.84154850421632,-65.0,-66.06193242435157,133.6,138.9782982668878,63.599999999999994,60.55624922163589,133.6,132.0380076543229,17.999999999999996,14.980579967296652
164,1.0,0.2,-1.0,1.0,195.0,190.54737587814492,-65.0,-65.08206273295902,128.0,127.56496916462105,58.0,58.78641864374001,128.0,130.42963037333212,20.0,17.873893141382005
120,1.0,0.18,-1.0,1.0,195.0,196.61992931648382,-65.0,-60.13703507036998,125.19999999999999,126.75943109991863,55.2,55.474440229179386,125.19999999999999,126.12642151729904,21.000000000000004,24.42589740825886
422,1.0,0.5,-1.0,-1.0,-125.0,-120.57425877106377,-5.0,-20.015187008785308,-55.0,-52.30847267886462,-125.0,-127.04407098238364,40.0,31.765805080153562,-125.0,-127.26240488342994
17,1.0,0.42,-1.0,1.0,195.0,197.28725684825577,-65.0,-66.42271157171575,158.8,162.80352217690242,88.8,89.4081116583388,158.8,158.49361311129562,9.0,10.28994829865172
61,1.0,0.24,-1.0,1.0,195.0,193.69736875464307,-65.0,-66.31284697727011,133.6,134.40104468205647,63.599999999999994,63.52376078769329,133.6,136.28140976344395,17.999999999999996,12.199063944735352
274,1.0,0.12,-1.0,-1.0,-125.0,-129.7459638318482,-5.0,-7.680035277256729,-36.0,-40.05009750183078,-106.0,-103.06982965637879,-13.200000000000001,-17.89006958590873,-106.0,-104.17164299764204
444,1.0,0.38,-1.0,-1.0,-125.0,-125.82608894830776,-5.0,-12.441884683257445,-49.0,-40.18352217741049,-119.0,-117.82989465674288,23.200000000000003,23.283756548056694,-119.0,-118.10087764148388
