,T,Age,AgeTag,Sex,yo1,y1,yo1CF,y1CF,yo2,y2,yo2CF,y2CF,yo3,y3,yo3CF,y3CF
364,0.0,0.2,-1.0,1.0,65.0,71.77806368557222,195.0,196.46750639277678,93.0,88.48876319771205,128.0,127.78854110976705,74.0,73.59985045909497,128.0,124.52330445278572
279,1.0,0.5,-1.0,0.0,35.0,28.67835490068441,0.0,-7.018457135913595,57.5,48.00545602243103,22.5,29.16450749246423,105.0,98.32275086841258,22.5,21.88459198166426
72,1.0,0.04,-1.0,1.0,195.0,191.6914963054133,65.0,63.41054740339985,105.6,112.08934698159779,70.6,69.8579802291073,105.6,101.50602826062011,66.8,72.68542638924241
237,1.0,0.28,-1.0,1.0,195.0,191.0261007905743,65.0,66.58971286648135,139.2,138.08659033615953,104.19999999999999,112.0481507464028,139.2,145.73666284696318,77.6,74.40186768442312
28,1.0,0.12,-1.0,1.0,195.0,188.92221451020012,65.0,62.59719194874084,116.80000000000001,117.61599381102205,81.80000000000001,78.70074502331137,116.80000000000001,118.94233361119943,70.4,77.54724613876864
248,1.0,0.06,-1.0,0.0,35.0,33.03979323673196,0.0,-2.339530715964307,37.7,44.87353561970869,2.6999999999999997,-2.0705052851558654,43.400000000000006,44.52955776116003,2.6999999999999997,8.906212451728393
111,1.0,0.36,-1.0,1.0,195.0,195.8604493505396,65.0,61.052108154205754,150.4,150.82094166339544,115.4,114.07641820090723,150.4,147.86619397463622,81.2,73.01014615070893
147,1.0,0.06,-1.0,1.0,195.0,198.8996030275652,65.0,70.03843288656458,108.4,102.65843338975019,73.4,71.50321097595565,108.4,112.64277140747673,67.7,65.37364014713364
270,1.0,0.36,-1.0,1.0,195.0,196.9174032256782,65.0,61.78926924047355,150.4,148.05035916222752,115.4,113.14863674539187,150.4,155.59822031984964,81.2,82.09054834758982
420,1.0,0.24,-1.0,0.0,35.0,36.28110793586454,0.0,4.295881672660626,45.8,51.28861758813382,10.799999999999999,8.168874776789309,68.6,66.35784136637238,10.799999999999999,17.221590586044492
499,0.0,0.06,-1.0,0.0,0.0,-0.9570841538743811,35.0,38.943738726205396,2.6999999999999997,8.881429998512736,37.7,38.834589097463414,2.6999999999999997,-1.8270532367565697,43.400000000000006,40.047419422757756
411,1.0,0.06,-1.0,0.0,35.0,33.90079792217619,0.0,-0.601321491033787,37.7,31.388217443111955,2.6999999999999997,-1.9367391337264217,43.400000000000006,46.74644456858573,2.6999999999999997,1.0088740133869005
285,1.0,0.46,-1.0,0.0,35.0,32.47317854748854,0.0,2.784813384728605,55.7,51.65898290413051,20.7,24.134996190856125,99.4,96.85969145054216,20.7,28.594687336789974
131,1.0,0.4,-1.0,1.0,195.0,190.20199968473557,65.0,74.74725030282859,156.0,155.63668682258583,121.0,115.17958715120318,156.0,147.0455910670662,83.0,85.27915667550134
78,1.0,0.26,-1.0,1.0,195.0,194.86023950984358,65.0,63.158253150985715,136.4,130.89809861460773,101.4,107.43147302786157,136.4,137.17475217506365,76.7,73.57540977330882
494,1.0,0.06,-1.0,0.0,35.0,38.14916284198864,0.0,-2.274855275201431,37.7,34.27021253521521,2.6999999999999997,-0.5892810425081985,43.400000000000006,41.89909263140504,2.6999999999999997,1.8183297409631738
264,1.0,0.4,-1.0,1.0,195.0,204.405881123391,65.0,62.45232068226095,156.0,152.33776120830396,121.0,113.50262690707925,156.0,154.12248223115353,83.0,84.9914090988424
117,1.0,0.14,-1.0,1.0,195.0,192.84627103719112,65.0,67.65015171474862,119.6,126.45898003815638,84.6,82.18597470951,119.6,120.08232760071827,71.3,62.94823307933849
325,1.0,0.2,-1.0,1.0,195.0,196.52619891269367,65.0,54.14427301840925,128.0,130.87929580250557,93.0,86.72404379154317,128.0,137.38887112506504,74.0,75.24168367705667
218,1.0,0.28,-1.0,1.0,195.0,199.60196339306432,65.0,59.50455055435534,139.2,135.52137151092603,104.19999999999999,102.63804759086474,139.2,136.9447914508259,77.6,76.91482646262149
373,1.0,0.5,-1.0,0.0,35.0,29.72906131199231,0.0,-1.093628837193875,57.5,50.84130761701331,22.5,27.059073985190622,105.0,110.14745292694295,22.5,19.078952883265316
444,1.0,0.5,-1.0,0.0,35.0,38.030622464564274,0.0,1.061658391668559,57.5,58.14263208905288,22.5,19.40611980720579,105.0,105.98906474989792,22.5,30.14288054034245
296,1.0,0.02,-1.0,0.0,35.0,38.781901011514535,0.0,1.5925804240441812,35.9,40.19712151991432,0.9,9.160754520311434,37.8,42.46441121190044,0.9,6.530583136822981
410,1.0,0.48,-1.0,0.0,35.0,38.095030514273745,0.0,2.01519218683687,56.599999999999994,59.52012164279124,21.599999999999998,30.48614805858837,102.19999999999999,99.24275671228366,21.599999999999998,11.003915925280605
480,1.0,0.42,-1.0,0.0,35.0,31.105835605395896,0.0,0.7364487680516563,53.9,55.12840667381128,18.9,19.49675912406663,93.8,108.56513594574655,18.9,20.767722009767347
477,1.0,0.06,-1.0,0.0,35.0,28.11634346977844,0.0,-11.255453586295385,37.7,46.74948121651171,2.6999999999999997,1.3360099842724764,43.400000000000006,51.18222179257674,2.6999999999999997,11.635324210601283
211,1.0,0.5,-1.0,1.0,195.0,203.68594151666994,65.0,60.39004273778882,170.0,164.67050977181012,135.0,130.9010778225425,170.0,165.12004511617866,87.5,100.65710029844028
75,1.0,0.3,-1.0,1.0,195.0,198.5700956343087,65.0,56.698532815042654,142.0,141.39799141254343,107.0,107.27836347641657,142.0,140.74920786612188,78.5,73.23856580692289
471,1.0,0.46,-1.0,0.0,35.0,41.0376622518982,0.0,3.3820343043659,55.7,52.99342614077182,20.7,23.818542694128503,99.4,101.97213051450271,20.7,18.56848225659174
254,1.0,0.5,-1.0,0.0,35.0,32.64479864404142,0.0,5.759167034335224,57.5,63.246156727731446,22.5,19.35300714157801,105.0,108.63494766661087,22.5,24.317668117465043
338,1.0,0.28,-1.0,0.0,35.0,44.02826122176408,0.0,-7.672410868642703,47.6,48.50154760052793,12.600000000000001,13.427319517871537,74.2,69.75034866936917,12.600000000000001,4.624876976552996
196,1.0,0.3,-1.0,1.0,195.0,202.98434320171864,65.0,70.41280514248758,142.0,144.54046345895517,107.0,109.69412382222546,142.0,140.0131870916094,78.5,79.46548265508852
475,1.0,0.22,-1.0,0.0,35.0,29.903288040741202,0.0,3.5420312147874764,44.9,47.153555793201434,9.9,10.949830647180137,65.8,67.33563770023764,9.9,2.4594178928552886
70,1.0,0.42,-1.0,1.0,195.0,195.78494932696452,65.0,74.0404409571254,158.8,161.2497148214652,123.80000000000001,117.99496086417665,158.8,165.36666290749048,83.9,86.35927927558821
207,1.0,0.42,-1.0,0.0,35.0,37.493224428651665,0.0,-5.451914891614015,53.9,55.89298307203224,18.9,25.49726223568984,93.8,89.02618946532243,18.9,24.01449338167999
343,1.0,0.26,-1.0,0.0,35.0,32.05507207373493,0.0,7.396279172202798,46.7,41.90293944768707,11.700000000000001,15.181310626243894,71.4,73.56173701535765,11.700000000000001,6.333575514879989
326,1.0,0.22,-1.0,0.0,35.0,28.467243704740053,0.0,6.11203388202717,44.9,37.8255961846346,9.9,16.189962407668393,65.8,70.98717686051718,9.9,15.1345716352553
460,1.0,0.22,-1.0,0.0,35.0,30.636484017322314,0.0,0.6044613763534099,44.9,43.830408692895524,9.9,16.035624674944394,65.8,67.8688445178533,9.9,12.58710503422932
498,0.0,0.18,-1.0,0.0,0.0,-2.287950107660874,35.0,33.279665020533386,8.1,18.777548899937248,43.1,39.10378001574508,8.1,11.49461258176228,60.2,57.81214310304265
379,1.0,0.12,-1.0,0.0,35.0,40.26999359619107,0.0,2.3708442211518657,40.4,39.197002853415434,5.3999999999999995,6.2726338866262665,51.8,50.12115574297434,5.3999999999999995,15.548937578380947
283,1.0,0.26,-1.0,0.0,35.0,42.90048449583389,0.0,-1.3951294813327828,46.7,52.69865902896281,11.700000000000001,11.995827176362084,71.4,75.00929395996206,11.700000000000001,14.783748053074973
300,1.0,0.08,-1.0,0.0,35.0,31.569170893711853,0.0,4.029861227997503,38.6,35.33773616127695,3.6,-1.4462994722370435,46.2,52.230580797127885,3.6,10.098086835187235
67,1.0,0.48,-1.0,1.0,195.0,191.82884215186695,65.0,57.67861006137487,167.2,166.95914244012587,132.2,136.39567322775898,167.2,160.98807148075446,86.6,86.50275810168367
225,1.0,0.02,-1.0,1.0,195.0,193.2645389888389,65.0,71.78727162854663,102.80000000000001,97.8006869249216,67.80000000000001,67.17006274927822,102.80000000000001,102.78470220001621,65.9,55.63948367891027
481,1.0,0.22,-1.0,0.0,35.0,37.74752208189049,0.0,-0.8158449869894941,44.9,48.11496091589861,9.9,14.479998993142232,65.8,59.6033547946516,9.9,4.358506992179984
12,1.0,0.06,-1.0,1.0,195.0,191.21650233520893,65.0,64.3225839178026,108.4,109.19089797949873,73.4,77.46839611459785,108.4,113.16584773240585,67.7,61.990139773576715
63,1.0,0.42,-1.0,1.0,195.0,193.66294199828224,65.0,66.52772676645725,158.8,159.5303134214485,123.80000000000001,129.76960175655537,158.8,166.77973246303756,83.9,87.05433159486249
175,1.0,0.18,-1.0,1.0,195.0,186.72802605081077,65.0,57.36787229136151,125.19999999999999,132.40600562171355,90.19999999999999,83.285662284659,125.19999999999999,126.23581478708422,73.1,76.7651610933354
297,1.0,0.14,-1.0,0.0,35.0,35.17950975758938,0.0,0.015316454332207515,41.3,37.100555478336645,6.300000000000001,15.813539779049348,54.599999999999994,52.413643095012944,6.300000000000001,8.143848848819768
387,1.0,0.12,-1.0,0.0,35.0,25.80488962423995,0.0,-9.346575489559651,40.4,43.578991469331,5.3999999999999995,-1.8395502653579232,51.8,55.84640886258358,5.3999999999999995,-3.790297636624639
