,T,Age,Sex,yo1,yo1CF,y1,y1CF,yo2,yo2CF,y2,y2CF,yo3,yo3CF,y3,y3CF
259,-1,1,-1,75,-85,79.66647078605853,-78.77764251967592,-70,-40,-67.91006445522888,-44.088649013784185,-70,150,-65.8601310958428,152.00267297322617
495,1,1,-1,-85,75,-84.2524895803627,86.73391302288641,-40,-70,-42.0516137481312,-69.8148380476507,150,-70,150.09429335121308,-77.20984695997294
458,-1,1,1,-105,115,-110.7126053098185,110.85807512996823,130,160,126.91179731335328,146.80364257011328,-60,160,-62.38350683664931,162.86606303652707
235,-1,1,-1,75,-85,70.59816164905158,-81.97050703623097,-70,-40,-74.65614422869047,-34.366798996986624,-70,150,-71.17734609627509,151.93744315195468
17,-1,1,-1,75,-85,72.83244632364224,-92.48169558883382,-70,-40,-69.73751498035779,-42.21602069740095,-70,150,-76.29620608934172,151.57487813497835
170,-1,1,1,-105,115,-101.03895819415466,118.37993474634906,130,160,129.3099234831474,155.35692206738483,-60,160,-54.81643879012977,164.0338948829248
400,-1,1,1,-105,115,-109.09746977645216,115.04281083532179,130,160,130.55059740532818,150.9128918265787,-60,160,-59.88440143319686,153.15329152941246
439,-1,1,-1,75,-85,71.23261179276125,-81.2078178119774,-70,-40,-73.05595887098082,-33.79285739511435,-70,150,-73.0344048081547,150.50374621232785
387,-1,1,-1,75,-85,66.8819602074762,-86.78524729295894,-70,-40,-75.38180304662251,-38.35718475617263,-70,150,-73.79589740946251,147.5372541195159
354,-1,1,1,-105,115,-107.33672871518985,117.34601463335802,130,160,128.71663102050422,161.1157314797809,-60,160,-55.69657184491848,156.37648448891565
349,-1,1,-1,75,-85,69.25721090382788,-83.29946782231887,-70,-40,-65.60571681075486,-51.06376274052188,-70,150,-70.58772200310833,149.22873480978268
431,-1,1,-1,75,-85,79.03652698055835,-90.66440528847176,-70,-40,-72.57598657309444,-44.49038501348437,-70,150,-68.46526593731764,155.4520067183193
29,-1,1,-1,75,-85,78.2045328574265,-83.12769053110092,-70,-40,-68.95394008190682,-49.32985709402533,-70,150,-63.708222850091744,140.04644876091282
278,-1,1,1,-105,115,-108.99303429017888,114.30698110551673,130,160,131.716010065482,161.31678186273172,-60,160,-59.807159693635754,163.17705301872053
306,-1,1,1,-105,115,-107.21617394324005,108.51472063597879,130,160,130.82373691944773,159.52360609622406,-60,160,-60.195163490775194,167.03270643652218
279,-1,1,-1,75,-85,69.82238740606225,-83.5121139116241,-70,-40,-71.19224938015938,-40.463836512791225,-70,150,-67.62485919934105,145.90141038442405
325,-1,1,-1,75,-85,84.80701375538254,-86.10725850433542,-70,-40,-71.33542016268352,-36.697277925322396,-70,150,-70.17071936883262,146.45131265851836
219,-1,1,-1,75,-85,83.53921852505485,-81.50887123021019,-70,-40,-74.52168870130086,-32.871505610005244,-70,150,-65.20212245095703,156.77255650039106
443,-1,1,-1,75,-85,70.27551835681072,-87.76464319451051,-70,-40,-56.32857317130574,-45.622079685788904,-70,150,-72.65780382602097,143.93604503943058
483,1,1,-1,-85,75,-82.7841826900087,76.25732520706299,-40,-70,-47.66546965882458,-72.25479812430677,150,-70,144.20934138194644,-72.32722624234847
135,-1,1,-1,75,-85,73.3196616848899,-80.83732092829962,-70,-40,-69.32193653664525,-40.018985017283406,-70,150,-63.4008268356307,149.7011113249333
314,-1,1,1,-105,115,-110.01789980132145,112.30320155014363,130,160,126.71633584529891,162.86301459661752,-60,160,-67.43877564295448,154.58693485552132
18,-1,1,1,-105,115,-108.78360684312091,111.35948328264062,130,160,136.55155522062046,164.37785416260164,-60,160,-50.65584339933325,160.8118065432096
58,-1,1,1,-105,115,-102.17577758704951,114.15101781868542,130,160,135.30021090235587,152.73397709035427,-60,160,-57.42715755332749,161.96891060430718
136,-1,1,1,-105,115,-107.35179474239769,111.84514339754053,130,160,129.48291060064057,157.60628816626289,-60,160,-70.65325405000058,154.74356010023052
299,-1,1,-1,75,-85,80.44021792227637,-89.07108094029493,-70,-40,-66.58194414809637,-35.67626523354218,-70,150,-73.7245900770276,146.94756391430764
75,-1,1,-1,75,-85,77.934243516679,-86.3166784816896,-70,-40,-67.03320413773967,-45.53094339802803,-70,150,-71.051846092343,141.82494872977279
46,-1,1,1,-105,115,-100.86532629551785,111.13224976340082,130,160,126.49374977562815,160.2221562316551,-60,160,-55.67878077650415,166.80840967168893
105,-1,1,-1,75,-85,80.69116928896098,-76.32027991201736,-70,-40,-65.12883046280525,-37.45927574957982,-70,150,-72.15844501905076,142.15909667463126
253,-1,1,-1,75,-85,80.46839889207473,-83.83572785383382,-70,-40,-61.067760565382315,-44.45431939629075,-70,150,-71.51903265184106,147.15403875805532
169,-1,1,-1,75,-85,81.06706655478348,-85.01147392488603,-70,-40,-60.91417278089175,-35.13155591014809,-70,150,-74.48447699958652,152.4584204874091
340,-1,1,1,-105,115,-105.87765257339805,117.8590893126761,130,160,123.11599177204634,157.1242167279058,-60,160,-56.889920998373306,162.08182025564548
494,1,1,1,115,-105,118.44161204480187,-105.95420868127306,160,130,156.3239571706745,125.62434384045096,160,-60,159.9444234804449,-59.47837253992966
311,-1,1,-1,75,-85,65.71634935546565,-83.22811342371644,-70,-40,-61.78530138159431,-44.49205857018039,-70,150,-64.51750208498906,146.96692087359932
87,-1,1,-1,75,-85,69.41035316344674,-88.38645534480855,-70,-40,-66.38771975056692,-42.11808238225,-70,150,-64.66814257011092,150.26697483205314
106,-1,1,1,-105,115,-100.52427834252475,104.74320889070167,130,160,138.05705576222203,160.9617411055541,-60,160,-60.474929150495335,162.74194579580862
377,-1,1,-1,75,-85,66.6558732170877,-85.78572189807603,-70,-40,-70.661141861841,-25.660567254587736,-70,150,-72.83031587738715,149.65188423077947
155,-1,1,-1,75,-85,75.11496740522445,-76.50501032820826,-70,-40,-64.38291685158029,-43.088990017820755,-70,150,-69.45645742635857,154.0415146681931
226,-1,1,1,-105,115,-99.4910079640604,116.19542371779295,130,160,138.3303267429916,164.4046449387149,-60,160,-54.172042790758326,161.04809768669983
296,-1,1,1,-105,115,-104.5545957037734,113.27682446101188,130,160,122.48089134900887,162.22186363720007,-60,160,-62.167800648516966,155.50254441782886
396,-1,1,1,-105,115,-105.06008004666349,113.81187696331327,130,160,125.8721395155417,154.4927689813973,-60,160,-59.922613718753375,159.35848013040544
55,-1,1,-1,75,-85,80.0552199131829,-90.42566198236064,-70,-40,-74.276990140401,-38.67711002484982,-70,150,-73.05090472299705,156.03278322324795
22,-1,1,1,-105,115,-104.08233541590634,106.69574468841454,130,160,123.25219178675763,159.11791916951435,-60,160,-67.86762739753843,152.56561689511554
101,-1,1,-1,75,-85,79.29345640480872,-79.59502726134261,-70,-40,-66.29869307302583,-40.96839107450408,-70,150,-73.7052638048828,152.8418942448437
49,-1,1,-1,75,-85,78.19732016195016,-84.70798312240696,-70,-40,-74.41790707419482,-37.490384173807826,-70,150,-69.71562906001999,146.13533231547376
60,-1,1,1,-105,115,-98.1447615381864,113.36768208469542,130,160,136.12512470572494,160.77461949922653,-60,160,-65.11294435391119,160.57396925801734
197,-1,1,-1,75,-85,68.87146174663395,-88.69842665486298,-70,-40,-69.84887344638048,-45.275723129720625,-70,150,-75.0945660027648,151.81010316450667
191,-1,1,-1,75,-85,74.35460375241975,-84.83552953327427,-70,-40,-67.2339578422553,-39.227811800823716,-70,150,-68.78525261062497,154.07495381458568
484,1,1,1,115,-105,112.17547004102504,-112.78028745227216,160,130,157.6504834710035,117.44027605177752,160,-60,156.77388717913863,-56.04124919652177
12,-1,1,1,-105,115,-101.33094976364026,123.19408835141368,130,160,126.87851845440741,155.5626858168274,-60,160,-58.410411878774646,161.8975908752541
108,-1,1,1,-105,115,-100.57636200817969,118.35892054402176,130,160,136.37965707144622,163.4950920954492,-60,160,-57.71745807617736,161.06121751445318
404,-1,1,1,-105,115,-108.77224660622247,120.29871593368374,130,160,129.41087375122677,158.2287472235146,-60,160,-55.502284551531446,159.28766937133918
173,-1,1,-1,75,-85,71.05290598053303,-82.40787417824569,-70,-40,-75.12885960015576,-47.952382719974715,-70,150,-74.12696088084205,146.23501843138123
470,-1,1,1,-105,115,-103.44640856421623,117.49905430143265,130,160,120.82314744560227,160.5389093023294,-60,160,-51.02399602915308,157.0556610043005
297,-1,1,-1,75,-85,71.983008315485,-87.92761254358825,-70,-40,-61.781424532020374,-37.20824140008936,-70,150,-74.23027353481457,148.035171551286
460,-1,1,1,-105,115,-107.6177087876595,116.69550496344787,130,160,131.4532483304957,159.83489742826845,-60,160,-64.30889966554098,153.94801073182214
496,1,1,1,115,-105,109.98222970988974,-107.77513787564534,160,130,159.4711685211598,128.47904590890522,160,-60,158.37241030850186,-64.5317139367069
397,-1,1,-1,75,-85,65.8252608521595,-80.2186293162392,-70,-40,-74.83957051945151,-46.005328909614136,-70,150,-78.95127031107025,147.41673640303537
164,-1,1,1,-105,115,-101.47363344929157,115.49155790098706,130,160,130.16355702609826,166.60395579204464,-60,160,-69.24302631531322,157.1752138582182
244,-1,1,1,-105,115,-111.55249907619412,108.03938334430332,130,160,133.66783858828896,157.05291561240017,-60,160,-51.90882291088843,160.45495355472482
326,-1,1,1,-105,115,-108.78705327725048,117.35640911290162,130,160,121.2884279443221,165.184361236633,-60,160,-63.196466318474016,163.32711099784868
473,-1,1,-1,75,-85,90.49788037885895,-91.01237958372897,-70,-40,-65.02689625522342,-32.661041396367594,-70,150,-73.65738855200229,153.16743384232814
