,T,Age,Sex,yo1,yo1CF,y1,y1CF,yo2,yo2CF,y2,y2CF,yo3,yo3CF,y3,y3CF
393,-1,1,-1,75,-85,72.329098455096,-84.3737081334754,-70,-40,-70.385919774074,-30.602866475860935,-70,150,-72.34774166388029,146.1384935658522
386,-1,1,1,-105,115,-99.26212504050635,108.88693381446666,130,160,129.3300172113771,166.63530431061983,-60,160,-53.1414949049596,149.58144199552115
328,-1,1,1,-105,115,-108.04314135258838,110.93327074650792,130,160,130.808051405982,162.6068176238804,-60,160,-56.01716544860289,157.30422954868283
329,-1,1,-1,75,-85,73.57945883015371,-94.99603148643565,-70,-40,-61.844143994798046,-48.942226974220674,-70,150,-70.35819552849708,153.46906468808703
213,-1,1,-1,75,-85,67.97323833353794,-83.70928579013408,-70,-40,-72.33786389418349,-49.15989327125606,-70,150,-76.3317435493087,148.55685594364343
242,-1,1,1,-105,115,-97.121589235405,116.20068775633908,130,160,125.99672229375112,156.68637412574304,-60,160,-50.98130804065556,164.07969328288863
445,-1,1,-1,75,-85,82.812809722096,-84.25542845084465,-70,-40,-61.01680621221272,-31.745027563670853,-70,150,-64.65531652747391,150.1904717035717
252,-1,1,1,-105,115,-113.8035422823897,116.48176909655079,130,160,128.1628167655638,163.68464612506853,-60,160,-55.05276711167151,161.2909309180093
187,-1,1,-1,75,-85,78.26100145745801,-83.0992014860527,-70,-40,-69.2741571127813,-38.81781737179817,-70,150,-73.31762484181505,157.8337830260231
271,-1,1,-1,75,-85,77.72555598151413,-82.86266515413398,-70,-40,-77.67750298083371,-43.661978430366915,-70,150,-68.75652156458901,146.41435468336982
221,-1,1,-1,75,-85,76.7062542665559,-70.08011998549333,-70,-40,-60.643998203339585,-38.73721183739678,-70,150,-69.85284373899545,154.87382171181028
478,-1,1,1,-105,115,-104.61492024613504,123.4521260537085,130,160,123.70891853918995,160.99618548352743,-60,160,-60.071571720515934,170.30549079843644
446,-1,1,1,-105,115,-105.92219410291194,116.98381725752778,130,160,131.44676150447833,168.5771794466804,-60,160,-61.047432944681724,158.61725420079114
432,-1,1,1,-105,115,-97.34078317906516,116.21564499553607,130,160,136.122130219551,162.5457804529361,-60,160,-58.96041556853919,154.85425008039144
274,-1,1,1,-105,115,-99.40049164171582,117.97786445483338,130,160,128.64314398204684,162.91018629923553,-60,160,-65.15583995087371,155.3779243638294
275,-1,1,-1,75,-85,75.75813710598021,-87.08291705830942,-70,-40,-70.03574911683482,-35.690596662877546,-70,150,-67.9270326724779,152.75950603351492
418,-1,1,1,-105,115,-104.69180827633497,117.44516012629953,130,160,129.86724262618463,150.44534347694855,-60,160,-57.179318436778736,156.87964376900712
406,-1,1,1,-105,115,-109.38065928774192,110.71284009214503,130,160,134.41448450046,157.98929456212443,-60,160,-50.78695658834772,160.64443941925512
455,-1,1,-1,75,-85,67.5751948423801,-90.39945918726242,-70,-40,-69.20857189178118,-37.39960110544354,-70,150,-64.61117295573075,153.71284741529098
238,-1,1,1,-105,115,-93.15478301019606,105.84313813922694,130,160,124.39456601912471,164.53470299292073,-60,160,-52.25813466649364,164.4703690564968
440,-1,1,1,-105,115,-105.74295311599411,113.62942858307623,130,160,132.98458243801957,149.60858847642498,-60,160,-62.41879764782822,150.4973521996181
202,-1,1,1,-105,115,-103.27342353157466,109.84596400922952,130,160,129.98128851035239,159.0975678022352,-60,160,-70.55940568129961,159.2837930294173
81,-1,1,-1,75,-85,73.28579040868382,-79.81052669894352,-70,-40,-70.45096840451365,-48.2977168119721,-70,150,-65.31301585612121,145.96809299403495
412,-1,1,1,-105,115,-108.63017133725745,117.10230838694024,130,160,130.13809623573346,163.3496900916752,-60,160,-57.43194955204661,161.63988722367841
33,-1,1,-1,75,-85,72.97300105501526,-83.07219983493896,-70,-40,-60.31274681640078,-42.355631899632726,-70,150,-72.39960541782031,157.14721661178436
319,-1,1,-1,75,-85,76.70645225622995,-88.81851731358822,-70,-40,-69.90856153628376,-42.55569521140475,-70,150,-68.37264403279669,161.21600685615152
373,-1,1,-1,75,-85,78.22242921658041,-84.02196551573505,-70,-40,-74.6017582501684,-39.038466556852434,-70,150,-77.63522860340903,144.3590687100513
297,-1,1,-1,75,-85,80.31230994112424,-82.84218149033933,-70,-40,-70.44945174886311,-41.67499342359982,-70,150,-70.74362154672781,146.40381159994496
