,T,Age,Sex,yo1,yo1CF,y1,y1CF,yo2,yo2CF,y2,y2CF,yo3,yo3CF,y3,y3CF
194,-1,1,1,-105,115,-107.03508115271921,121.32094403776439,130,160,127.01731471421394,164.18852746641477,-60,160,-64.24463599194624,151.36834760917887
19,-1,1,-1,75,-85,70.83631930360082,-84.6149679324667,-70,-40,-65.86451341746702,-31.013719622543892,-70,150,-68.64338554431181,154.71589417125628
202,-1,1,1,-105,115,-103.66757685156524,114.41761710142082,130,160,129.26876803672346,166.17703303802585,-60,160,-66.5779779983822,160.5884386495798
259,-1,1,-1,75,-85,66.32344187374737,-85.01426120927812,-70,-40,-77.58925396434043,-35.92117124210371,-70,150,-75.37794765480727,144.22583537689314
480,1,1,1,115,-105,120.18542717518802,-98.24727333258843,160,130,164.45578501744367,133.26873664919472,160,-60,162.16697819599196,-58.05033528910847
341,-1,1,-1,75,-85,82.32005458416033,-89.21149805356602,-70,-40,-64.68514016434331,-45.71583478393412,-70,150,-74.53506606377144,152.88252708902363
225,-1,1,-1,75,-85,73.46339750803746,-87.35648431294398,-70,-40,-60.76068758398367,-29.432505099034415,-70,150,-74.70808440869303,152.1365534557004
322,-1,1,1,-105,115,-108.69924415016388,115.23766878301,130,160,136.23158341773507,165.78527819414992,-60,160,-64.0270512600457,158.09271732013895
366,-1,1,1,-105,115,-104.03453468751256,123.71000161455285,130,160,134.54335882046078,156.51279320955518,-60,160,-54.080654403603745,161.3299241814917
10,-1,1,1,-105,115,-102.15387524197013,107.12493021291502,130,160,131.02599685914512,150.5097629867128,-60,160,-53.78694571655059,157.57658271772763
399,-1,1,-1,75,-85,74.9044113779804,-94.21633089128062,-70,-40,-72.99555650651374,-44.085231996573654,-70,150,-66.278548343601,151.40485880801805
150,-1,1,1,-105,115,-112.51594017163106,116.63702489333927,130,160,130.82534694674686,155.931890869949,-60,160,-64.538926560944,155.4673538066659
377,-1,1,-1,75,-85,68.7494020801092,-83.18084174423093,-70,-40,-74.55454180065487,-36.31216090923125,-70,150,-73.2498491669161,143.09804149286137
98,-1,1,1,-105,115,-103.2210111713511,113.79803480112776,130,160,133.01615161508764,159.4691211245442,-60,160,-55.82915570816526,154.06076283300519
37,-1,1,-1,75,-85,72.38186575342617,-92.96103267932503,-70,-40,-62.02501941789297,-47.37961023606554,-70,150,-66.4758883185961,143.3960009234391
405,-1,1,-1,75,-85,79.23843356022064,-85.38219875998769,-70,-40,-68.04803055588901,-41.35233040035859,-70,150,-71.833524984861,147.58052697108567
491,1,1,-1,-85,75,-86.61718083361157,79.32569172433068,-40,-70,-38.61484604053153,-65.87422044711622,150,-70,150.70990263504783,-73.54017177811915
223,-1,1,-1,75,-85,73.1784229594941,-81.85863108047718,-70,-40,-76.76751087654962,-38.51604200533978,-70,150,-71.96989702392611,151.4023553973123
153,-1,1,-1,75,-85,73.8196914001657,-88.62606803679923,-70,-40,-72.15937329957944,-41.72164452792329,-70,150,-73.81649789821249,158.75840042343316
174,-1,1,1,-105,115,-98.72232056506046,109.10717979137146,130,160,130.19288077845596,164.17153823126256,-60,160,-58.984008044671505,164.55004555543812
132,-1,1,1,-105,115,-107.51337753148756,111.57312079617026,130,160,133.3159950156498,148.93415399917026,-60,160,-54.56803628770713,158.57360544331365
481,1,1,-1,-85,75,-88.79527633270351,80.54450566183081,-40,-70,-36.65713220008048,-76.53066383719269,150,-70,159.22262489129452,-68.63000565389511
477,-1,1,-1,75,-85,68.47011602510686,-80.91197631524521,-70,-40,-71.45551697529665,-42.125317879913624,-70,150,-68.16316869122167,153.58197125431616
222,-1,1,1,-105,115,-110.56090008565346,114.65189481897266,130,160,130.2301881709364,162.06030146217284,-60,160,-61.509756603886245,155.2354787995482
121,-1,1,-1,75,-85,77.8886228083693,-78.29653768702738,-70,-40,-65.36564618190862,-32.14580572669428,-70,150,-70.78965379421396,144.9292469088996
35,-1,1,-1,75,-85,70.1910479741951,-73.77762045163276,-70,-40,-70.82479360055174,-44.928891534126976,-70,150,-65.15408955146461,149.91931911341135
444,-1,1,1,-105,115,-101.62497009908314,114.40906214938285,130,160,125.1299323916125,152.76998209492865,-60,160,-65.08816375203249,167.10496320185075
492,1,1,1,115,-105,127.35989108857102,-104.88931348683215,160,130,152.22766424650794,135.63360682770815,160,-60,158.84591806291246,-56.94115501736929
155,-1,1,-1,75,-85,74.5715407659132,-76.99828649777822,-70,-40,-66.955524964682,-38.968934984327404,-70,150,-63.834441345964834,152.95715728189938
483,1,1,-1,-85,75,-89.55411939319599,79.48491251199509,-40,-70,-41.759065424217,-65.53523327641717,150,-70,151.84368292337078,-66.7791992320582
370,-1,1,1,-105,115,-104.77472890176952,114.57517195797658,130,160,130.3372037155176,164.9541521560481,-60,160,-61.61902712130287,159.7749029033171
329,-1,1,-1,75,-85,87.9917037105875,-84.71381385230266,-70,-40,-62.49150739935614,-49.63278866686437,-70,150,-67.3433579710946,144.99659635932727
441,-1,1,-1,75,-85,80.01964669654814,-95.38015135683588,-70,-40,-67.48356712222757,-39.39692015040553,-70,150,-73.62160238490468,148.49280842671263
367,-1,1,-1,75,-85,68.87531115345824,-80.35104575142321,-70,-40,-71.57311660865315,-39.287716413936124,-70,150,-67.55009911029452,152.9913560833415
125,-1,1,-1,75,-85,77.49252697734165,-80.98964597509844,-70,-40,-67.20464689061197,-49.61681614905543,-70,150,-72.74908772886793,145.9892358585189
313,-1,1,-1,75,-85,79.6403650507753,-89.80538484259348,-70,-40,-66.79525226799728,-49.797940725857195,-70,150,-66.74860313607113,158.5849642831851
145,-1,1,-1,75,-85,68.81253410012786,-90.44785710607823,-70,-40,-65.04749076199953,-42.60640004836413,-70,150,-69.09504160445933,152.58488814666725
339,-1,1,-1,75,-85,77.0873853942303,-89.08023530222682,-70,-40,-67.81297030781421,-37.64089485145437,-70,150,-74.9311415324962,154.05208351424068
54,-1,1,1,-105,115,-107.81382852006908,109.29922091680609,130,160,124.4144309729277,166.82034961125467,-60,160,-53.70782700337215,156.03084172553307
255,-1,1,-1,75,-85,69.82106532644926,-83.81047138536093,-70,-40,-73.14390269533193,-44.06384232769867,-70,150,-60.028190635719845,149.57825805658618
421,-1,1,-1,75,-85,75.63552644369605,-90.01942972715828,-70,-40,-62.800653978630784,-33.30642677145987,-70,150,-69.0113835164701,153.23100361041367
300,-1,1,1,-105,115,-101.25468246226947,120.74436601041126,130,160,137.16234433310183,154.52895897389092,-60,160,-59.96184267891579,159.82818103217338
235,-1,1,-1,75,-85,80.87652104360298,-84.54734214981973,-70,-40,-60.96869954981237,-40.83485992316007,-70,150,-70.42190401642841,153.5443815843339
190,-1,1,1,-105,115,-104.7748394978986,115.07771262722918,130,160,128.35566690185055,157.68108184989455,-60,160,-66.72067654235904,172.22401663731225
76,-1,1,1,-105,115,-110.02342852993819,112.1202038565594,130,160,127.9867121701113,160.42999500545218,-60,160,-58.786260985065454,168.34790427716047
498,1,1,1,115,-105,107.47626887239588,-111.82145777860259,160,130,156.9439122838236,134.65655989330352,160,-60,163.76627253671126,-52.69589725426375
337,-1,1,-1,75,-85,77.45812888598572,-79.73783571726092,-70,-40,-61.995370104215795,-40.724343188099006,-70,150,-64.68455816932122,147.64302749332506
251,-1,1,-1,75,-85,74.59551071644367,-82.26525002301862,-70,-40,-70.30915694766473,-36.60051724212455,-70,150,-66.86556101588525,148.22704374405973
138,-1,1,1,-105,115,-94.88416162726935,112.3005001715719,130,160,136.97087144955796,156.60960670796297,-60,160,-64.84391937479309,156.8301055554138
220,-1,1,1,-105,115,-107.06413910123696,104.04412827884728,130,160,119.24938953437191,169.56403872785992,-60,160,-61.52704872162881,163.5613894453281
426,-1,1,1,-105,115,-114.98526247265308,124.26692671688338,130,160,130.16112974817133,168.95138813008555,-60,160,-51.92110070423805,163.2465497300112
