,T,Age,Sex,yo1,yo1CF,y1,y1CF,yo2,yo2CF,y2,y2CF,yo3,yo3CF,y3,y3CF
424,1,1,1,115,-105,115.55410116658722,-103.99154236866617,160,130,162.05842088096966,131.72021837578617,160,-60,169.3918101252656,-51.3715766690061
337,1,-1,-1,-85,75,-83.37887548580763,80.05273502864108,60,30,56.937043802608,35.916499792480984,-130,30,-135.1965476017071,35.65281003593254
124,-1,1,1,-105,115,-99.41307904744643,117.01172266734224,130,160,135.6276868298251,161.72303376906746,-60,160,-58.168480363023576,159.71344572035972
217,-1,1,-1,75,-85,75.3423112663922,-90.3729375433942,-70,-40,-73.93802635972297,-36.23962839164816,-70,150,-78.68212058533524,154.99769348169167
100,-1,1,1,-105,115,-110.0727668759587,120.08890156355561,130,160,133.95983418271612,151.18522554607907,-60,160,-64.63056011373573,168.9120255913737
84,-1,-1,1,-105,115,-102.73315695390748,117.78173763192548,-150,-120,-145.92182784954835,-116.55327483467121,40,-120,32.13794908308061,-121.49112927340128
135,1,-1,-1,-85,75,-86.9843869870841,74.18591444298653,60,30,60.83156274337833,35.71306824852214,-130,30,-134.4641658022749,25.136456967155503
133,1,-1,-1,-85,75,-96.52212617568573,79.2266563287638,60,30,70.26825468255997,31.88521518239887,-130,30,-131.90660420574386,27.623255570023414
129,1,-1,-1,-85,75,-74.9686293527152,73.56461104719645,60,30,57.062839556861825,28.800391315090934,-130,30,-129.15111570727376,21.509023134520405
455,1,-1,-1,-85,75,-80.94407006249183,72.0819436887665,60,30,49.53161797704729,29.49593763318769,-130,30,-125.2538227238162,30.528059019623964
427,1,1,-1,-85,75,-88.2606136662542,79.24314464065594,-40,-70,-41.367936027970345,-77.37651668608609,150,-70,150.38118207535385,-78.8508164546408
356,1,-1,1,115,-105,110.22828875897929,-102.79028616775105,-120,-150,-114.80320788525484,-147.41133864755415,-120,40,-124.31095705141311,54.5336746834259
52,-1,-1,1,-105,115,-105.69369731043507,114.24614790816278,-150,-120,-144.38749715681615,-115.47302774144153,40,-120,39.865089124907485,-116.06006385260532
151,1,-1,-1,-85,75,-82.58672324011096,74.71708660298701,60,30,58.25768116179684,25.201279242659645,-130,30,-133.70375517558392,29.082935531496872
303,1,-1,-1,-85,75,-82.63750464007762,75.76573146296094,60,30,51.989617385301536,32.95900709949047,-130,30,-131.4180253096171,32.227221429914756
171,1,-1,-1,-85,75,-79.81863925629978,76.84283427933505,60,30,58.86244132901738,22.201177033825225,-130,30,-132.2142397702944,22.155428710980075
5,-1,-1,-1,75,-85,77.88383344095178,-91.66005039130985,30,60,29.20239688137186,63.91527285369063,30,-130,34.16600067927916,-134.64691214961871
0,-1,1,1,-105,115,-111.52710270083934,112.4508872377525,130,160,139.11288905488834,162.7774321041248,-60,160,-64.38318792844578,173.0961482450518
32,-1,-1,1,-105,115,-103.51767936150054,127.88789248635027,-150,-120,-150.11430317925493,-117.84213290599712,40,-120,40.82688892782656,-116.59265732628033
398,-1,1,1,-105,115,-102.47355149648108,117.00406072644509,130,160,137.29964502004228,153.7128938735314,-60,160,-53.176293427947954,160.39085306409123
13,-1,1,-1,75,-85,70.70501316662603,-87.44534287009529,-70,-40,-64.74005078256008,-42.77157378993134,-70,150,-73.69994704909993,158.33077499741557
160,1,-1,1,115,-105,118.5114808754152,-104.51875361435339,-120,-150,-116.75425710947027,-155.4004382793137,-120,40,-129.71376574285895,42.55468934518065
443,1,1,-1,-85,75,-90.05521512363495,76.93759194334012,-40,-70,-37.44244410467926,-73.69566837972269,150,-70,157.10825813269935,-69.9527051873012
235,1,-1,-1,-85,75,-85.46639423399412,82.15381523019873,60,30,51.98240609055634,25.090934561841667,-130,30,-129.91425095350647,24.24275331840753
34,-1,-1,1,-105,115,-106.44483997058421,107.62197337887825,-150,-120,-155.54913068485354,-117.02132492433428,40,-120,32.9177565339677,-121.63999684147304
286,1,-1,1,115,-105,114.05209238621283,-100.64596252960055,-120,-150,-120.00246745730198,-149.94572933107023,-120,40,-124.02605824119131,38.333835060896675
229,1,-1,-1,-85,75,-80.61801213969267,73.94690038928822,60,30,60.925274899985915,33.103329064269005,-130,30,-133.9844468448368,30.421317678985254
207,1,-1,-1,-85,75,-90.81720698511101,73.32720491235543,60,30,57.88871924966251,31.3502269568007,-130,30,-137.7579121476532,26.861372750332176
481,1,1,-1,-85,75,-78.63937758195542,72.96468631636004,-40,-70,-42.68932867051443,-66.67330256384618,150,-70,139.03030521519105,-65.53739307639395
475,1,1,-1,-85,75,-87.81832565729222,74.26494891042428,-40,-70,-46.79236588608604,-73.98137795009943,150,-70,150.01063068652064,-70.14129532589874
139,-1,1,-1,75,-85,77.55275021521851,-90.56842587250443,-70,-40,-66.64173542703868,-39.3503836804691,-70,150,-78.22897471253695,158.60411237986648
475,1,-1,-1,-85,75,-83.9945438425799,79.18638143384833,60,30,66.58830321104315,29.974093110390314,-130,30,-137.55999429246907,26.518627466110765
498,1,1,1,115,-105,112.13833556233878,-94.7693904573608,160,130,155.54996393280499,135.53728344712545,160,-60,158.71844075678476,-62.54548666200146
377,1,-1,-1,-85,75,-81.20366153546797,79.84658010028164,60,30,58.308174795224694,33.26041285674157,-130,30,-132.1685679152792,40.20586334725671
416,1,1,1,115,-105,124.83131843934453,-99.70612684485496,160,130,156.71732132691128,141.0042053167067,160,-60,167.102577260082,-67.93107601078094
254,-1,1,1,-105,115,-103.55476883369197,117.00004211152181,130,160,130.62333352555189,167.7855899379346,-60,160,-55.04555401388781,155.37363674977607
435,1,1,-1,-85,75,-90.63725388255831,69.33248634286353,-40,-70,-44.844789233995584,-71.00975386370953,150,-70,153.0573304320592,-72.32381460537846
162,-1,1,1,-105,115,-101.09165478120025,117.12794520167456,130,160,125.33005691794283,157.04804389512762,-60,160,-58.49860280953828,158.5828189117112
114,-1,1,1,-105,115,-111.63924174800628,115.0595292864885,130,160,126.24645771778111,165.88641374968543,-60,160,-61.242436180138164,159.66615435622847
499,1,1,-1,-85,75,-78.7572819950826,75.01564581864704,-40,-70,-42.48962751455551,-70.2487845704926,150,-70,139.62590342375108,-68.20978325275333
338,-1,1,1,-105,115,-100.87371927628527,119.75187299038714,130,160,138.85122583763365,159.53229676003173,-60,160,-63.8583652332859,167.73385442701266
212,1,-1,1,115,-105,126.67365927635241,-97.76052508223881,-120,-150,-118.35651726462326,-145.88852953669803,-120,40,-129.8917620463052,39.72689141994218
326,-1,1,1,-105,115,-105.86875626215169,116.73277750535875,130,160,135.42184555394107,159.83606305398158,-60,160,-65.7044646805817,165.47251682808246
206,1,-1,1,115,-105,110.05036636278692,-101.36389731870428,-120,-150,-121.12540357517385,-146.0949084289585,-120,40,-119.04329173853793,44.520105516666824
88,-1,1,1,-105,115,-107.30400610312837,112.58283194632588,130,160,122.90312417867665,161.99769924453653,-60,160,-59.55725149495148,163.92594076437695
365,1,-1,-1,-85,75,-79.99715079132294,67.41036319236635,60,30,44.16534805291057,29.41515530793475,-130,30,-126.58756251437309,18.618041635449227
311,1,-1,-1,-85,75,-82.33264002544475,80.62666323355637,60,30,62.21518246155179,33.643698919025766,-130,30,-131.31417674560137,23.307732389369956
115,1,-1,-1,-85,75,-88.33076036566555,75.97812834268923,60,30,63.20333807282079,25.981063104021,-130,30,-128.1614774186367,25.47994640955882
17,-1,-1,-1,75,-85,69.0399847519226,-87.79984842885086,30,60,34.902669182691724,63.834591815784435,30,-130,28.0989256130948,-134.52184089660884
197,1,-1,-1,-85,75,-92.66426067072338,76.94805071073009,60,30,57.06288235150206,23.308221626718034,-130,30,-131.1378885024431,31.932996112518524
280,-1,1,1,-105,115,-102.11496313225048,112.91645622901815,130,160,131.39596698286365,157.3044309055477,-60,160,-63.2235974287336,155.02614311107033
484,1,-1,1,115,-105,110.70988246984943,-100.82170319646562,-120,-150,-125.10873309116101,-152.6192279398098,-120,40,-120.44930696493742,44.714021750295146
403,1,1,-1,-85,75,-80.22270719680189,64.42432289159424,-40,-70,-32.169536418831164,-72.96330785624384,150,-70,147.89493329675693,-65.98618185084561
224,-1,1,1,-105,115,-97.89171382257129,114.79925618823253,130,160,125.94112363526247,160.67840457121255,-60,160,-62.45294124556421,157.15769695934753
361,1,-1,-1,-85,75,-86.93364959865576,79.40842096970033,60,30,59.64622257015773,33.696876449032864,-130,30,-129.35998106943438,26.607658957919103
156,-1,1,1,-105,115,-101.61959542671326,109.34194455910253,130,160,132.42389834235408,167.03089291977474,-60,160,-65.80371912894857,160.1402851480945
33,-1,-1,-1,75,-85,74.9233149828218,-90.44669103891535,30,60,33.466421871174404,61.981755444578944,30,-130,31.807037729737072,-128.26929695326683
266,-1,1,1,-105,115,-104.3578233660267,120.97072293128237,130,160,123.15886562546696,161.2048220958057,-60,160,-56.21661814582577,156.06988153702466
127,-1,1,-1,75,-85,88.02419894866213,-82.11187730203864,-70,-40,-74.20300302098654,-38.64237548066599,-70,150,-69.91344557685596,152.5804830903008
135,-1,1,-1,75,-85,77.86843806739547,-87.10601794932636,-70,-40,-79.33556112628779,-27.7562537240768,-70,150,-59.47681698519984,147.16044872930084
27,-1,1,-1,75,-85,82.61268420712076,-81.59995784085771,-70,-40,-63.357262615594536,-36.15486972854229,-70,150,-71.337604371551,150.944847952975
23,-1,-1,-1,75,-85,75.52019265753245,-85.56809548312211,30,60,32.98847663500139,58.865597299559774,30,-130,37.79939811659931,-135.78113371315987
209,1,-1,-1,-85,75,-71.80971711103574,70.1477824057383,60,30,59.99772575803746,22.122719684535767,-130,30,-133.2544907259514,35.415945448405054
41,-1,1,-1,75,-85,68.13540883762538,-90.67431971209595,-70,-40,-68.91148703700227,-37.99679759008399,-70,150,-67.94850813618247,144.0282098669901
430,1,-1,1,115,-105,118.25920084609687,-101.47617968542049,-120,-150,-125.13533928758095,-154.9943756389442,-120,40,-116.05915919203768,45.952414575821976
52,-1,1,1,-105,115,-105.76200336044201,117.71527107920484,130,160,135.95356164280628,160.59817087988827,-60,160,-49.292285239285704,158.78532964591105
2,-1,1,1,-105,115,-99.07701145735604,111.2134247792124,130,160,134.13188620162222,147.87754272206644,-60,160,-59.536924148372684,152.37902580464333
202,-1,1,1,-105,115,-100.76946366746667,113.05859564966023,130,160,127.16334814019632,156.6102403795288,-60,160,-59.60993339431724,156.2519074674868
434,1,1,1,115,-105,119.39407953132302,-112.0245460262176,160,130,165.74165090022214,133.60485295469533,160,-60,161.68109943068802,-56.07288764564382
200,1,-1,1,115,-105,112.71121256262619,-100.76347792309647,-120,-150,-123.74996596788411,-155.19999167048505,-120,40,-116.51373389305833,45.35378242454257
39,-1,1,-1,75,-85,80.14342993516188,-88.78000041464799,-70,-40,-69.82138576935662,-30.683373019087753,-70,150,-77.11767497145269,139.05754704482337
257,1,-1,-1,-85,75,-78.07184353654968,73.89860797543845,60,30,57.98326281052956,26.79668172375666,-130,30,-129.18351828586822,18.858492504525653
218,1,-1,1,115,-105,123.95716828969336,-101.00273658669792,-120,-150,-125.44010525682602,-147.60875803328403,-120,40,-115.52307628708517,46.00654291154276
372,-1,1,1,-105,115,-107.3287137580637,108.82979047063203,130,160,138.30716469649403,162.3263990181751,-60,160,-65.1348766981262,149.36458445782722
476,1,1,1,115,-105,114.09550434188574,-108.79015425455414,160,130,159.7357338376297,126.02022895777326,160,-60,155.33375303304126,-62.1552392220974
493,1,-1,-1,-85,75,-90.99036270602355,82.52838734488546,60,30,64.81989020641704,27.27608927416759,-130,30,-127.17930304317994,40.20863286777612
91,-1,-1,-1,75,-85,77.41012082132805,-86.6953588841346,30,60,26.395213913728995,55.301010990047544,30,-130,23.254194558237806,-119.46791806472041
78,-1,-1,1,-105,115,-104.3700576098693,124.69564678456199,-150,-120,-146.0879214609119,-125.496832082915,40,-120,37.68929313844011,-116.39161124623809
132,1,-1,1,115,-105,111.64229924405926,-112.3375242724376,-120,-150,-115.43207551040038,-143.47266856431474,-120,40,-121.43709501250225,42.669433656868904
228,1,-1,1,115,-105,108.42169623191567,-105.21858447060444,-120,-150,-123.30980597180272,-144.51587763095463,-120,40,-118.69247913118939,36.848800564081216
46,-1,1,1,-105,115,-99.58655256677869,113.16505086019602,130,160,143.74166663123887,161.7945603435909,-60,160,-62.70348034804418,166.35118981460982
298,-1,1,1,-105,115,-104.68198279203774,113.7522740280519,130,160,126.30743423059067,157.40528224835236,-60,160,-68.69253396605681,172.16903106401335
306,-1,1,1,-105,115,-105.01391555335914,106.03261415335061,130,160,130.36079481425193,153.127531005216,-60,160,-57.37661819932633,153.10650174592863
426,1,-1,1,115,-105,114.36321920300706,-102.67835744022618,-120,-150,-130.72922263875748,-146.20176621626572,-120,40,-117.14225725757194,38.807018756332596
233,-1,1,-1,75,-85,71.24437726980845,-82.3296972347268,-70,-40,-69.38079122686337,-39.67531657847015,-70,150,-69.97851271126211,148.76885650040552
98,-1,1,1,-105,115,-102.72194378525269,119.32677016510252,130,160,135.63773956532282,154.28754435427928,-60,160,-66.05638077032326,150.98391544379453
142,-1,1,1,-105,115,-111.24638350946665,113.71184770549586,130,160,132.18422463399054,160.59130733746755,-60,160,-54.65217867795731,156.32163919518945
