,T,Age,Sex,yo1,yo1CF,y1,y1CF,yo2,yo2CF,y2,y2CF,yo3,yo3CF,y3,y3CF
111,1,-1,-1,-85,75,-93.90813064440532,71.37402027852853,60,30,58.137636743807164,30.52736345949213,-130,30,-124.91192415100716,28.449589884556577
377,-1,1,-1,75,-85,66.6558732170877,-85.78572189807603,-70,-40,-70.661141861841,-25.660567254587736,-70,150,-72.83031587738715,149.65188423077947
462,1,-1,1,115,-105,115.19081566771432,-109.63952809327415,-120,-150,-113.18128667856074,-153.38914649063722,-120,40,-122.10100023187861,51.664387954854924
319,1,-1,-1,-85,75,-84.76307714268123,74.7036573531089,60,30,55.189196598250064,29.70508438317239,-130,30,-128.45046597155675,32.39447139242045
283,1,-1,-1,-85,75,-88.35065790995462,78.11708770588112,60,30,60.865390428758474,36.524838664917375,-130,30,-127.35209236360625,33.48652528518621
281,1,-1,-1,-85,75,-80.48741384969622,73.8089662634041,60,30,65.16668147269574,30.887434246838545,-130,30,-134.4173685557969,28.83570915534326
249,-1,1,-1,75,-85,76.35033565206221,-90.87421113933729,-70,-40,-67.92146160485574,-38.93784172868173,-70,150,-67.52720175632395,150.8658443287268
222,-1,1,1,-105,115,-117.2915150165301,108.46516149019698,130,160,124.31277089407143,164.43582509813461,-60,160,-56.984769066338075,171.3578557710155
327,1,-1,-1,-85,75,-93.06518590393515,66.71294266845086,60,30,56.92642426855654,27.425913012204003,-130,30,-131.6383388755279,41.50527967908809
401,-1,1,-1,75,-85,79.46204609359319,-89.4245314227721,-70,-40,-72.24272333535305,-49.24429322403325,-70,150,-70.41749010992174,143.55947005430974
273,1,-1,-1,-85,75,-88.70164591064973,74.36054651024034,60,30,57.75570630472035,31.62830360530034,-130,30,-130.4007494100769,36.947303170207284
244,-1,1,1,-105,115,-111.55249907619412,108.03938334430332,130,160,133.66783858828896,157.05291561240017,-60,160,-51.90882291088843,160.45495355472482
234,1,-1,1,115,-105,104.8405483809426,-100.837876479445,-120,-150,-118.39984648889352,-145.08078248360863,-120,40,-128.53643243667432,38.568343358514774
174,1,-1,1,115,-105,120.21511834057276,-101.4380987324224,-120,-150,-121.71095372773442,-150.60814013514727,-120,40,-113.78571913099034,36.495841670546014
385,-1,1,-1,75,-85,90.33452873757908,-77.9800433660392,-70,-40,-78.56286707434307,-42.75213631020998,-70,150,-69.96704810415115,151.6487722526841
194,-1,1,1,-105,115,-109.49305669366436,103.80741645294427,130,160,134.84997514703053,158.0826891799441,-60,160,-54.728229736272695,159.5561520784583
164,1,-1,1,115,-105,117.26616603763925,-108.36031527428567,-120,-150,-122.95863869646699,-141.49982901174468,-120,40,-125.2534860989885,42.548377002572025
64,1,-1,1,115,-105,115.77854480499256,-102.83365502348477,-120,-150,-120.84256965588366,-147.69891296069795,-120,40,-122.94926244447193,33.75419035278608
29,-1,1,-1,75,-85,78.2045328574265,-83.12769053110092,-70,-40,-68.95394008190682,-49.32985709402533,-70,150,-63.708222850091744,140.04644876091282
6,-1,-1,1,-105,115,-99.14433537754095,114.05587055812379,-150,-120,-146.47604311768978,-120.84317118635012,40,-120,37.63642318630878,-125.37030341968475
346,1,-1,1,115,-105,122.62131299379165,-107.66337948814164,-120,-150,-111.43228683220339,-155.04472359713395,-120,40,-114.36556567270874,31.521434082670126
117,-1,1,-1,75,-85,74.74386051855377,-83.58875828424995,-70,-40,-70.40584584600653,-47.89602562556533,-70,150,-61.12851761353152,138.40739820074145
366,1,-1,1,115,-105,122.50858336693699,-104.69280620425792,-120,-150,-121.93295762537349,-151.63124042988792,-120,40,-122.38470744424873,41.36692675847303
189,-1,1,-1,75,-85,72.97656668410292,-94.4795345597568,-70,-40,-61.60960270889385,-42.58878703666277,-70,150,-70.02020442495069,142.75415485538758
154,-1,1,1,-105,115,-106.4170502645313,107.63002737810865,130,160,131.3917282062252,164.7786186840721,-60,160,-56.325226844401115,164.48248997004575
496,1,1,1,115,-105,109.98222970988974,-107.77513787564534,160,130,159.4711685211598,128.47904590890522,160,-60,158.37241030850186,-64.5317139367069
321,1,-1,-1,-85,75,-76.21858677039346,76.70846601651986,60,30,53.73151889801271,29.785195196007194,-130,30,-128.39113957424814,25.149347063701597
347,-1,1,-1,75,-85,76.00178604627908,-81.95300695870706,-70,-40,-76.2269727702242,-46.93733405459198,-70,150,-74.40062124138383,161.49102837164304
289,-1,1,-1,75,-85,75.53968163604338,-96.66438762018993,-70,-40,-70.69066666681962,-41.690366918022576,-70,150,-78.40327331056665,143.7114613783096
322,-1,1,1,-105,115,-107.44067690039596,109.42400126488204,130,160,130.19036567352418,163.72805414692786,-60,160,-63.01676805164293,162.90168697845544
218,-1,1,1,-105,115,-102.20821010852606,115.65732849487567,130,160,129.29970148388864,170.2336981859854,-60,160,-58.96586945388235,161.3855954527127
73,1,-1,-1,-85,75,-77.02022689729168,72.00720967990972,60,30,63.36950499350456,24.029349044362686,-130,30,-130.1673123777197,23.842153443794817
444,1,-1,1,115,-105,113.50994848134425,-99.45816265862537,-120,-150,-120.49137069218567,-151.05788791179057,-120,40,-120.04491846108027,42.9736611515424
16,-1,-1,1,-105,115,-108.20788922909439,120.08746097817234,-150,-120,-146.34488130635495,-113.03655258116798,40,-120,38.393701216471776,-121.90614522457697
219,-1,1,-1,75,-85,83.53921852505485,-81.50887123021019,-70,-40,-74.52168870130086,-32.871505610005244,-70,150,-65.20212245095703,156.77255650039106
183,1,-1,-1,-85,75,-81.60305277183691,78.73017418792968,60,30,57.373828967730994,29.733677071806554,-130,30,-124.43813367604568,31.941595179411287
271,1,-1,-1,-85,75,-88.24138024637942,76.85551561849815,60,30,58.11318028293115,37.344892085092155,-130,30,-138.2453782591409,22.753510879658442
79,-1,1,-1,75,-85,78.07042682483946,-82.99713373710293,-70,-40,-77.05082137929607,-43.09990662974303,-70,150,-69.97900590440655,144.22104759352854
481,1,-1,-1,-85,75,-86.73959455149497,82.99478469438002,60,30,63.81331466960603,33.984944420266686,-130,30,-128.55360111638518,30.473581058357304
116,1,-1,1,115,-105,115.22520053861531,-104.32755060736197,-120,-150,-112.61016867562962,-143.7781650173509,-120,40,-127.50981223443084,37.67188458208384
286,1,-1,1,115,-105,113.75280421515679,-96.32167748823994,-120,-150,-122.71361595510271,-152.11406374857094,-120,40,-124.0265656084041,29.5269410922214
429,1,-1,-1,-85,75,-96.09859462727873,71.87877363872607,60,30,59.44941834869391,23.86572741491613,-130,30,-129.26168200700573,20.33510464615471
50,-1,1,1,-105,115,-109.08854157398453,116.66853390936508,130,160,132.98927151466097,162.8795041974546,-60,160,-59.155877221268156,165.67098159692807
279,1,-1,-1,-85,75,-79.65593323291105,69.65279160481539,60,30,55.75842699373463,30.66541169773189,-130,30,-124.39068191903117,33.22226765620735
106,1,-1,1,115,-105,110.24696387384638,-100.52059942700294,-120,-150,-120.43157276317271,-151.80059328623656,-120,40,-120.87587917484382,40.61714629068226
83,-1,1,-1,75,-85,74.99044875816284,-83.02949677807544,-70,-40,-69.84887218409582,-33.31352598998801,-70,150,-59.278273279887,151.65585098275673
426,-1,1,1,-105,115,-95.44524817434883,110.94216984278631,130,160,132.7968749045526,151.66263979721634,-60,160,-62.12264962406412,158.91259769157406
493,1,1,-1,-85,75,-77.80608722350755,67.64967739156215,-40,-70,-32.66998494983693,-63.7454782139139,150,-70,146.47897838587738,-63.4719262378795
244,1,-1,1,115,-105,114.29403436670451,-108.2497142049523,-120,-150,-121.81194321159789,-155.91971647003572,-120,40,-113.8665347013957,42.63791855950251
105,1,-1,-1,-85,75,-84.1024288757478,79.86785353495391,60,30,58.70559776981653,21.84075360356264,-130,30,-137.07846036177816,38.13033044689614
215,-1,1,-1,75,-85,76.081219069401,-81.42837860747728,-70,-40,-70.59877251136652,-38.2538801943559,-70,150,-72.04171169743708,145.73041918962073
429,-1,1,-1,75,-85,66.078239744499,-89.74905017224381,-70,-40,-68.70494320454524,-41.18194400034495,-70,150,-83.04094744202837,152.14881963498152
110,-1,1,1,-105,115,-103.10116516256997,114.97634561126338,130,160,127.31941876892485,163.0430503131577,-60,160,-62.99367463036699,155.9444366221056
422,1,-1,1,115,-105,114.52556656965137,-106.98762329582571,-120,-150,-126.64809536622947,-147.79717534102608,-120,40,-122.97876233917415,36.496938871195155
26,1,-1,1,115,-105,116.44070890670697,-108.4587146680665,-120,-150,-116.93090483466408,-152.39530048075832,-120,40,-122.38601204681294,46.33488757711296
197,-1,1,-1,75,-85,68.87146174663395,-88.69842665486298,-70,-40,-69.84887344638048,-45.275723129720625,-70,150,-75.0945660027648,151.81010316450667
315,1,-1,-1,-85,75,-81.77617405816734,79.37446182364472,60,30,53.95641589762523,22.980866716963547,-130,30,-138.3488429897988,24.944803638538406
437,1,-1,-1,-85,75,-83.35266426855834,77.22811568833248,60,30,63.866928600412365,25.172989485810575,-130,30,-130.76811130162613,34.220047840929745
