,T,Age,Sex,yo1,yo1CF,y1,y1CF,yo2,yo2CF,y2,y2CF,yo3,yo3CF,y3,y3CF
473,-1,1,-1,75,-85,69.85645755087344,-85.99957054954443,-70,-40,-69.51998291771653,-31.714963819987002,-70,150,-72.71534720335231,147.70831598647993
14,-1,-1,1,-105,115,-101.14217546312763,109.8545391824072,-150,-120,-155.0111377451319,-117.97189748246623,40,-120,43.000493254607,-115.91427199826204
379,-1,1,-1,75,-85,66.25165232296025,-89.33504192010399,-70,-40,-67.1901715255315,-42.641004312407176,-70,150,-74.24511675036658,149.6254462482922
230,1,-1,1,115,-105,111.83181432076289,-111.29460109822166,-120,-150,-126.60930462163913,-159.93867770556804,-120,40,-122.68472976547703,47.825722119804745
4,-1,-1,1,-105,115,-110.04322063448856,118.86488867581237,-150,-120,-148.6998654471115,-122.04594465424277,40,-120,34.67105423252373,-119.28214963817595
125,1,-1,-1,-85,75,-87.50744580275128,74.66568778393122,60,30,56.303237636758496,38.2205656812763,-130,30,-121.35660389189934,25.618954934878758
240,-1,1,1,-105,115,-101.3234429739025,115.18796264126739,130,160,135.6347659242714,164.43811624779988,-60,160,-59.14415873727923,153.02089779061805
498,1,-1,1,115,-105,110.45592370758217,-105.94861058952831,-120,-150,-110.67901919881307,-152.60375817042933,-120,40,-120.27344739838504,29.425329202121844
255,-1,1,-1,75,-85,78.958180641878,-76.8273521406432,-70,-40,-63.07120153516912,-38.46664346618625,-70,150,-74.47521813928785,145.6382641574376
112,1,-1,1,115,-105,119.63694371790045,-103.48474622013018,-120,-150,-120.66016492043002,-152.4136524204506,-120,40,-117.47071313793269,45.05119066339221
68,1,-1,1,115,-105,120.35110812547414,-110.669036765099,-120,-150,-121.25179130260969,-154.48351902501145,-120,40,-113.73310418589787,43.73198908673235
276,-1,1,1,-105,115,-113.79022820538877,114.99473415900351,130,160,135.54635409095067,163.81202446482774,-60,160,-58.79653474320973,159.0252747936538
327,-1,1,-1,75,-85,74.08830322747302,-85.94592132566764,-70,-40,-61.04966794136098,-38.7440067565998,-70,150,-67.3342118956744,145.73992453453766
12,-1,1,1,-105,115,-116.71517982751462,116.1848878079673,130,160,135.09733286881476,162.58820921666938,-60,160,-58.28189858937621,167.95332925123566
258,-1,1,1,-105,115,-107.51939398100333,107.94419154623832,130,160,121.07608270564265,152.63705111417818,-60,160,-57.562825856625906,164.3563590056909
247,1,-1,-1,-85,75,-80.86349241570677,73.81277832352433,60,30,54.65257253937341,29.577163943899635,-130,30,-123.03857924174079,27.97042181653736
94,-1,1,1,-105,115,-105.69723882316103,116.46210074370119,130,160,136.3528309211558,163.6067212050343,-60,160,-57.50690597547599,162.72404024974205
157,1,-1,-1,-85,75,-83.4840967043414,71.9154028727389,60,30,58.89093118513509,22.980882819141346,-130,30,-130.94076385376152,29.54205299662501
129,-1,1,-1,75,-85,69.62458634336558,-87.66380226189013,-70,-40,-75.84385259189467,-39.96146303348862,-70,150,-79.44631733859575,153.1507432285767
231,1,-1,-1,-85,75,-93.02039962998445,76.03284368664237,60,30,62.32575121940968,22.05115920055916,-130,30,-124.07886074946965,25.878456584340427
74,-1,1,1,-105,115,-104.71827482590976,112.42553747578171,130,160,130.14960438584896,152.81313544287255,-60,160,-54.203112886478465,164.9418774625882
