,T,Age,Sex,yo1,yo1CF,y1,y1CF,yo2,yo2CF,y2,y2CF,yo3,yo3CF,y3,y3CF
307,-1,1,-1,75,-85,67.67056920173727,-91.19758508608507,-70,-40,-67.91468400937862,-35.28465248782014,-70,150,-71.14457856218138,142.3370826636184
107,1,-1,-1,-85,75,-85.10162404722222,77.95294637535383,60,30,68.6032593632086,29.39809494564642,-130,30,-131.62884313916052,25.50093820521968
371,1,-1,-1,-85,75,-90.62884091909274,74.41675675080172,60,30,59.722402741252324,29.021502747095663,-130,30,-130.6042272282437,29.436318493273333
341,-1,1,-1,75,-85,82.32005458416033,-89.21149805356602,-70,-40,-64.68514016434331,-45.71583478393412,-70,150,-74.53506606377144,152.88252708902363
158,1,-1,1,115,-105,120.73517789420423,-105.67695072220732,-120,-150,-117.48456937554029,-150.9812028705601,-120,40,-115.23381310754881,41.66953078628331
173,-1,1,-1,75,-85,75.97708375557733,-87.87573839327649,-70,-40,-75.90140003886513,-37.265488182750126,-70,150,-72.77398716591365,153.32357336348426
74,-1,1,1,-105,115,-112.45334549947965,114.45098584962373,130,160,131.80016440084486,173.5934547529372,-60,160,-64.87128385527485,159.0800032299819
89,1,-1,-1,-85,75,-82.27714815489331,66.35688067119109,60,30,63.02695929525606,30.171436453542498,-130,30,-127.8593821199668,36.565154477996174
208,-1,1,1,-105,115,-109.50214091364131,108.463073909143,130,160,133.0863777806935,160.73250131831907,-60,160,-59.1975400265896,158.4395547143874
481,1,1,-1,-85,75,-88.79527633270351,80.54450566183081,-40,-70,-36.65713220008048,-76.53066383719269,150,-70,159.22262489129452,-68.63000565389511
97,1,-1,-1,-85,75,-79.3444412705824,76.62776807414966,60,30,59.465082479736395,22.737819073913524,-130,30,-131.0422383181675,34.45090436692922
237,-1,1,-1,75,-85,69.74352785046186,-83.53887023933027,-70,-40,-71.26759516106637,-45.61502738588759,-70,150,-74.12545154051149,153.43271375263694
161,1,-1,-1,-85,75,-89.15123669672766,73.8786281070117,60,30,66.0449519790423,27.974901977993255,-130,30,-126.85474075629926,26.927868466671832
351,-1,1,-1,75,-85,75.20561480215112,-93.02299718730822,-70,-40,-72.26686070796329,-34.355765631125124,-70,150,-63.305983446175034,157.89586732000487
326,-1,1,1,-105,115,-101.93223027138359,116.82348680228046,130,160,131.91706797299574,157.7873741014078,-60,160,-58.747122776158314,159.3832220678847
62,-1,1,1,-105,115,-101.59023598704741,113.46288440486171,130,160,127.26913561377184,156.67573906616087,-60,160,-67.00949563591477,165.5627867565973
475,1,-1,-1,-85,75,-83.42186499856277,74.82940419581082,60,30,59.04294965121711,30.15379977207332,-130,30,-135.00905564518084,27.689230250852887
245,1,-1,-1,-85,75,-89.34902758702638,74.73156722366224,60,30,56.41062444515371,28.9445954994972,-130,30,-122.91306316046015,32.296002080837944
142,-1,1,1,-105,115,-97.08866179896235,110.28441302779687,130,160,128.24921293950004,156.87387196012796,-60,160,-55.71788142367278,170.3210013106621
391,-1,1,-1,75,-85,82.93888641480258,-83.18233420043782,-70,-40,-65.8538353797987,-45.37868791124489,-70,150,-69.43110146397504,152.29167038752882
