,T,Age,AgeTag,Sex,yo1,y1,yo1CF,y1CF,yo2,y2,yo2CF,y2CF,yo3,y3,yo3CF,y3CF
413,1.0,-0.88,-1.0,-1.0,-85.0,-85.55629663994603,75.0,72.09247713874696,53.99999999999999,46.657027623594054,23.999999999999993,21.58768926303723,-113.19999999999999,-113.22424809548235,23.999999999999993,16.844323966288773
233,1.0,-0.96,-1.0,-1.0,-85.0,-82.98112459016667,75.0,67.7653366905517,58.00000000000001,60.238833525080004,28.000000000000007,27.978559835295762,-124.4,-118.9010030942288,28.000000000000007,32.392000484683415
345,1.0,-0.84,-1.0,-1.0,-85.0,-96.21455040123459,75.0,74.08506317494808,52.0,50.630085266623475,22.0,23.616498734424578,-107.6,-110.87936322233173,22.0,24.842626408781786
227,1.0,-0.28,-1.0,1.0,115.0,113.52307638769791,-105.0,-100.66613091768299,-19.200000000000003,-21.715482439984285,-49.2,-51.14308366793853,-19.200000000000003,-24.189094734252766,4.0,0.21700690700727865
118,1.0,-0.16,-1.0,1.0,115.0,122.19843643083615,-105.0,-106.37631818807287,-2.4000000000000004,0.8807878712415063,-32.4,-32.551816648693176,-2.4000000000000004,2.161500952476718,-1.9999999999999982,-3.3321007922220653
272,1.0,-0.56,-1.0,-1.0,-85.0,-84.74702873134324,75.0,71.30390177694855,38.0,31.432645602365852,8.0,13.066055726130575,-68.4,-63.655678610422235,8.0,12.699875407558094
497,-1.0,-0.08,-1.0,-1.0,75.0,81.03825079854184,-85.0,-87.81048758885382,-16.0,-23.531325252373307,14.0,16.081532231501207,-16.0,-9.422895254494838,-1.2000000000000002,-9.384194526236978
252,1.0,-0.8,-1.0,-1.0,-85.0,-83.91611212092678,75.0,81.98056911876002,50.0,40.99187717809569,20.0,20.034061954557654,-102.0,-105.02741515842257,20.0,16.565022837542596
260,1.0,-0.2,-1.0,1.0,115.0,109.17950858057976,-105.0,-97.88419045188134,-8.0,-13.480764556874547,-38.0,-39.1096315250896,-8.0,-12.094594693705307,0.0,-8.890033140148134
256,1.0,-0.92,-1.0,-1.0,-85.0,-94.34932487056801,75.0,77.74425574209462,56.00000000000001,58.151882712960365,26.000000000000007,20.39474195403678,-118.80000000000001,-129.09565035819557,26.000000000000007,36.33135112156229
481,1.0,-0.68,-1.0,-1.0,-85.0,-79.68372704440992,75.0,76.28622368482023,44.00000000000001,35.72116910181572,14.000000000000007,15.313131814504853,-85.20000000000002,-82.45909614518158,14.000000000000007,16.0123447698059
370,1.0,-0.56,-1.0,-1.0,-85.0,-79.92674673527618,75.0,71.63163164917422,38.0,37.54682488985062,8.0,4.967326091466312,-68.4,-70.52656813957321,8.0,13.156267843475959
350,1.0,-0.88,-1.0,-1.0,-85.0,-86.3699652345996,75.0,81.33166352479998,53.99999999999999,56.67407455860871,23.999999999999993,20.64639405784036,-113.19999999999999,-112.68447187780961,23.999999999999993,23.344975508335196
30,1.0,-0.32,-1.0,1.0,115.0,111.78616487884648,-105.0,-102.02690081551313,-24.800000000000004,-22.40106980897725,-54.8,-49.09464036429037,-24.800000000000004,-22.074395237221843,6.0000000000000036,13.504221488666424
255,1.0,-0.16,-1.0,-1.0,-85.0,-92.58523573074247,75.0,81.43372003789011,18.0,22.675052496504694,-11.999999999999998,-8.394180693491457,-12.400000000000002,-11.93743880320292,-11.999999999999998,-20.134130732586435
