,T,Age,AgeTag,Sex,yo1,y1,yo1CF,y1CF,yo2,y2,yo2CF,y2CF,yo3,y3,yo3CF,y3CF
376,1.0,0.04,-1.0,-1.0,-125.0,-121.5261372653543,-5.0,0.6624609599999465,-32.0,-28.793295853320146,-102.0,-105.25307454103776,-24.4,-27.702262289746223,-102.0,-104.74247029468711
248,1.0,0.3,-1.0,1.0,195.0,189.72470343352117,-65.0,-66.44474965963508,142.0,145.73637711029662,72.0,74.87040843959551,142.0,147.87993179557353,15.0,12.104236823695546
409,1.0,0.26,-1.0,-1.0,-125.0,-131.01050890207577,-5.0,-4.290276477230582,-43.0,-38.13985297359621,-113.0,-112.69119038727993,6.400000000000002,14.920614279389332,-113.0,-108.91149617165422
329,1.0,0.46,-1.0,-1.0,-125.0,-116.54457352415814,-5.0,-5.846253207351858,-53.0,-60.60264496242624,-123.0,-125.24064282178597,34.400000000000006,28.15803305494288,-123.0,-120.4668301782274
112,1.0,0.04,-1.0,1.0,195.0,191.9895084353364,-65.0,-68.66318933128225,105.6,100.1240554670949,35.6,44.92046653905866,105.6,107.58226170560154,28.0,31.40022694810882
359,1.0,0.06,-1.0,-1.0,-125.0,-123.81471794778687,-5.0,-5.764006723763907,-33.0,-34.44294325610621,-103.0,-100.5161577345527,-21.6,-18.38201903308942,-103.0,-108.96793191235959
404,1.0,0.06,-1.0,-1.0,-125.0,-132.65304885693214,-5.0,-1.3761614148551518,-33.0,-29.400359903624135,-103.0,-103.58151641481757,-21.6,-32.355778452939866,-103.0,-90.58486677550015
5,1.0,0.26,-1.0,1.0,195.0,194.2361165485121,-65.0,-69.38384714276384,136.4,138.01261025777768,66.4,67.24693182411268,136.4,127.35689999035591,17.000000000000004,13.64865886419121
55,1.0,0.28,-1.0,1.0,195.0,198.31234853667428,-65.0,-55.338082761335556,139.2,136.46257494194572,69.2,70.21040408185323,139.2,134.39985519062543,16.0,18.574171494215605
441,1.0,0.16,-1.0,-1.0,-125.0,-120.66805411685976,-5.0,-13.485042754861698,-38.0,-35.063824631411904,-108.0,-104.72372283494887,-7.6,-4.660021771932966,-108.0,-99.4908441681858
78,1.0,0.28,-1.0,1.0,195.0,199.9666161368902,-65.0,-72.96325624193643,139.2,140.09110506293987,69.2,66.63819825780655,139.2,129.98786338151933,16.0,19.166564270800464
407,1.0,0.02,-1.0,-1.0,-125.0,-127.89965465405126,-5.0,-5.679699427638465,-31.0,-35.95710947968983,-101.0,-99.29525035163421,-27.200000000000003,-25.234245490169492,-101.0,-98.91056082839121
271,1.0,0.42,-1.0,-1.0,-125.0,-131.92431741972655,-5.0,-0.7883718429942554,-51.0,-57.40822486465379,-121.0,-109.07859448111154,28.799999999999997,26.17424363327646,-121.0,-122.84913851890953
258,1.0,0.38,-1.0,1.0,195.0,185.82192133962403,-65.0,-74.73586021914865,153.2,152.9058618034994,83.2,80.44451710598176,153.2,147.67946582215458,11.0,10.202711212958551
424,1.0,0.36,-1.0,-1.0,-125.0,-120.74752869946015,-5.0,-2.159700184500468,-48.0,-49.157778142729484,-118.0,-119.62163012434034,20.399999999999995,20.32257739373203,-118.0,-121.50458336141917
382,1.0,0.3,-1.0,-1.0,-125.0,-124.8338286742119,-5.0,-12.812956651724257,-45.0,-43.630485985054996,-115.0,-122.42345456720071,12.0,15.637291335826978,-115.0,-119.51779598928343
299,1.0,0.24,-1.0,-1.0,-125.0,-131.65531163937615,-5.0,-0.06497423162792249,-42.0,-39.73447405970579,-112.0,-106.19239667461737,3.599999999999998,-5.10185136093625,-112.0,-114.3101328725741
80,1.0,0.24,-1.0,1.0,195.0,192.4138925315857,-65.0,-68.577467928814,133.6,134.86169379199694,63.599999999999994,61.819973989104504,133.6,132.27125668755883,17.999999999999996,12.729292516923344
251,1.0,0.42,-1.0,1.0,195.0,194.04243939704537,-65.0,-61.94028449548069,158.8,167.76836137580972,88.8,92.19327013921027,158.8,153.96855558485277,9.0,19.02736950427917
215,1.0,0.06,-1.0,1.0,195.0,190.92920844513816,-65.0,-65.34727180927666,108.4,109.92505525390672,38.400000000000006,28.258239638864264,108.4,102.57759422991823,27.000000000000004,14.654998894987546
321,1.0,0.24,-1.0,-1.0,-125.0,-134.1401351858038,-5.0,-1.3092550967642502,-42.0,-34.00384208849363,-112.0,-111.7993406228466,3.599999999999998,-2.1355838879013955,-112.0,-113.82256232503717
274,1.0,0.3,-1.0,1.0,195.0,199.02334768648808,-65.0,-57.43659006232875,142.0,137.93756292551024,72.0,65.15135723273825,142.0,139.89024085295057,15.0,17.215435603866027
62,1.0,0.08,-1.0,1.0,195.0,202.35835129772522,-65.0,-63.79459185892611,111.19999999999999,109.94900526282665,41.2,48.37872600223137,111.19999999999999,112.33761365938722,26.0,22.647047153640766
0,1.0,0.24,-1.0,1.0,195.0,190.89101698060085,-65.0,-61.6032054594779,133.6,127.57972708868978,63.599999999999994,67.64760385075068,133.6,141.24795926603858,17.999999999999996,12.108849124781074
413,1.0,0.24,-1.0,-1.0,-125.0,-123.21016327006437,-5.0,-10.266154839102384,-42.0,-45.524129946243924,-112.0,-117.17038871389056,3.599999999999998,8.372013634097087,-112.0,-103.19232578101389
103,1.0,0.22,-1.0,1.0,195.0,201.43815971917948,-65.0,-63.45814934898381,130.8,123.66009677016115,60.8,62.93849804570536,130.8,132.05723906170476,19.0,29.987893290300406
204,1.0,0.28,-1.0,1.0,195.0,188.51153475881205,-65.0,-70.20272058123663,139.2,138.2855028404057,69.2,70.25677309517432,139.2,136.67899437298692,16.0,18.246768964453352
447,1.0,0.14,-1.0,-1.0,-125.0,-126.28978930867854,-5.0,-12.02893754728482,-37.0,-33.40583741333034,-107.0,-104.80079751017351,-10.399999999999999,-3.7392746806443373,-107.0,-107.72830245992478
147,1.0,0.48,-1.0,1.0,195.0,201.98617327892885,-65.0,-70.17284615554262,167.2,164.62437905779439,97.19999999999999,104.38642917627344,167.2,164.24676856607545,5.999999999999993,11.058255943404477
144,1.0,0.34,-1.0,1.0,195.0,198.93601231405108,-65.0,-79.12481020711957,147.6,148.99504325736325,77.6,75.61632408044048,147.6,149.34153039231026,12.999999999999993,10.967250326942873
3,1.0,0.4,-1.0,1.0,195.0,197.80597283572607,-65.0,-64.66785713396251,156.0,157.4222572307623,86.0,85.95690099173298,156.0,150.9402065390698,10.0,11.761747267566154
479,1.0,0.26,-1.0,-1.0,-125.0,-127.93145225274499,-5.0,-5.755531074955642,-43.0,-40.28145448311756,-113.0,-111.41696406518237,6.400000000000002,3.261658190574636,-113.0,-116.45719728370537
260,1.0,0.24,-1.0,-1.0,-125.0,-118.53576915962478,-5.0,-1.457713388165995,-42.0,-44.010367291304405,-112.0,-107.32460399799132,3.599999999999998,8.654866979515422,-112.0,-102.74711705187023
281,1.0,0.32,-1.0,1.0,195.0,202.56681481504256,-65.0,-62.94155593641208,144.8,152.04172395782086,74.8,79.23669937215766,144.8,136.30260918359613,13.999999999999996,13.680706562073642
200,1.0,0.3,-1.0,1.0,195.0,193.10402334194566,-65.0,-67.81059231874697,142.0,143.62645625638402,72.0,78.74702737162663,142.0,141.50052547043856,15.0,16.642917192372142
474,1.0,0.3,-1.0,-1.0,-125.0,-117.24407437672231,-5.0,-8.918976973892692,-45.0,-45.75176743158629,-115.0,-118.55518404269785,12.0,18.144630663736244,-115.0,-128.07587185073686
