,T,Age,AgeTag,Sex,yo1,y1,yo1CF,y1CF,yo2,y2,yo2CF,y2CF,yo3,y3,yo3CF,y3CF
386,-1.0,0.24,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-112.0,-112.0,-42.0,-42.0,-112.0,-112.0,3.599999999999998,3.599999999999998
320,1.0,0.42,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-51.0,-51.0,-121.0,-121.0,28.799999999999997,28.799999999999997,-121.0,-121.0
461,-1.0,0.24,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-112.0,-112.0,-42.0,-42.0,-112.0,-112.0,3.599999999999998,3.599999999999998
306,1.0,0.14,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-37.0,-37.0,-107.0,-107.0,-10.399999999999999,-10.399999999999999,-107.0,-107.0
499,-1.0,0.5,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-125.0,-125.0,-55.0,-55.0,-125.0,-125.0,40.0,40.0
154,-1.0,0.1,-1.0,1.0,-65.0,-65.0,195.0,195.0,44.0,44.0,114.0,114.0,25.0,25.0,114.0,114.0
235,-1.0,0.22,-1.0,1.0,-65.0,-65.0,195.0,195.0,60.8,60.8,130.8,130.8,19.0,19.0,130.8,130.8
310,1.0,0.22,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-41.0,-41.0,-111.0,-111.0,0.7999999999999972,0.7999999999999972,-111.0,-111.0
490,-1.0,0.32,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-116.0,-116.0,-46.0,-46.0,-116.0,-116.0,14.800000000000002,14.800000000000002
148,-1.0,0.48,-1.0,1.0,-65.0,-65.0,195.0,195.0,97.19999999999999,97.19999999999999,167.2,167.2,5.999999999999993,5.999999999999993,167.2,167.2
190,-1.0,0.32,-1.0,1.0,-65.0,-65.0,195.0,195.0,74.8,74.8,144.8,144.8,13.999999999999996,13.999999999999996,144.8,144.8
465,-1.0,0.32,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-116.0,-116.0,-46.0,-46.0,-116.0,-116.0,14.800000000000002,14.800000000000002
247,-1.0,0.46,-1.0,1.0,-65.0,-65.0,195.0,195.0,94.4,94.4,164.4,164.4,7.0,7.0,164.4,164.4
219,-1.0,0.4,-1.0,1.0,-65.0,-65.0,195.0,195.0,86.0,86.0,156.0,156.0,10.0,10.0,156.0,156.0
491,-1.0,0.34,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-117.0,-117.0,-47.0,-47.0,-117.0,-117.0,17.600000000000005,17.600000000000005
492,-1.0,0.36,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-118.0,-118.0,-48.0,-48.0,-118.0,-118.0,20.399999999999995,20.399999999999995
332,1.0,0.16,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-38.0,-38.0,-108.0,-108.0,-7.6,-7.6,-108.0,-108.0
480,-1.0,0.12,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-106.0,-106.0,-36.0,-36.0,-106.0,-106.0,-13.200000000000001,-13.200000000000001
69,1.0,0.4,-1.0,1.0,195.0,195.0,-65.0,-65.0,156.0,156.0,86.0,86.0,156.0,156.0,10.0,10.0
225,-1.0,0.02,-1.0,1.0,-65.0,-65.0,195.0,195.0,32.8,32.8,102.80000000000001,102.80000000000001,29.0,29.0,102.80000000000001,102.80000000000001
21,1.0,0.44,-1.0,1.0,195.0,195.0,-65.0,-65.0,161.6,161.6,91.6,91.6,161.6,161.6,8.0,8.0
34,1.0,0.2,-1.0,1.0,195.0,195.0,-65.0,-65.0,128.0,128.0,58.0,58.0,128.0,128.0,20.0,20.0
413,-1.0,0.28,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-114.0,-114.0,-44.0,-44.0,-114.0,-114.0,9.200000000000003,9.200000000000003
452,-1.0,0.06,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-103.0,-103.0,-33.0,-33.0,-103.0,-103.0,-21.6,-21.6
338,1.0,0.28,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-44.0,-44.0,-114.0,-114.0,9.200000000000003,9.200000000000003,-114.0,-114.0
134,-1.0,0.2,-1.0,1.0,-65.0,-65.0,195.0,195.0,58.0,58.0,128.0,128.0,20.0,20.0,128.0,128.0
183,-1.0,0.18,-1.0,1.0,-65.0,-65.0,195.0,195.0,55.2,55.2,125.19999999999999,125.19999999999999,21.000000000000004,21.000000000000004,125.19999999999999,125.19999999999999
53,1.0,0.08,-1.0,1.0,195.0,195.0,-65.0,-65.0,111.19999999999999,111.19999999999999,41.2,41.2,111.19999999999999,111.19999999999999,26.0,26.0
18,1.0,0.38,-1.0,1.0,195.0,195.0,-65.0,-65.0,153.2,153.2,83.2,83.2,153.2,153.2,11.0,11.0
455,-1.0,0.12,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-106.0,-106.0,-36.0,-36.0,-106.0,-106.0,-13.200000000000001,-13.200000000000001
82,1.0,0.16,-1.0,1.0,195.0,195.0,-65.0,-65.0,122.4,122.4,52.400000000000006,52.400000000000006,122.4,122.4,22.0,22.0
335,1.0,0.22,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-41.0,-41.0,-111.0,-111.0,0.7999999999999972,0.7999999999999972,-111.0,-111.0
458,-1.0,0.18,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-109.0,-109.0,-39.0,-39.0,-109.0,-109.0,-4.800000000000001,-4.800000000000001
159,-1.0,0.2,-1.0,1.0,-65.0,-65.0,195.0,195.0,58.0,58.0,128.0,128.0,20.0,20.0,128.0,128.0
115,1.0,0.32,-1.0,1.0,195.0,195.0,-65.0,-65.0,144.8,144.8,74.8,74.8,144.8,144.8,13.999999999999996,13.999999999999996
123,1.0,0.48,-1.0,1.0,195.0,195.0,-65.0,-65.0,167.2,167.2,97.19999999999999,97.19999999999999,167.2,167.2,5.999999999999993,5.999999999999993
359,1.0,0.2,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-40.0,-40.0,-110.0,-110.0,-2.0,-2.0,-110.0,-110.0
298,1.0,0.48,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-54.0,-54.0,-124.0,-124.0,37.2,37.2,-124.0,-124.0
471,-1.0,0.44,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-122.0,-122.0,-52.0,-52.0,-122.0,-122.0,31.599999999999998,31.599999999999998
293,1.0,0.38,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-49.0,-49.0,-119.0,-119.0,23.200000000000003,23.200000000000003,-119.0,-119.0
227,-1.0,0.06,-1.0,1.0,-65.0,-65.0,195.0,195.0,38.400000000000006,38.400000000000006,108.4,108.4,27.000000000000004,27.000000000000004,108.4,108.4
426,-1.0,0.04,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-102.0,-102.0,-32.0,-32.0,-102.0,-102.0,-24.4,-24.4
374,1.0,0.5,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-55.0,-55.0,-125.0,-125.0,40.0,40.0,-125.0,-125.0
160,-1.0,0.22,-1.0,1.0,-65.0,-65.0,195.0,195.0,60.8,60.8,130.8,130.8,19.0,19.0,130.8,130.8
476,-1.0,0.04,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-102.0,-102.0,-32.0,-32.0,-102.0,-102.0,-24.4,-24.4
330,1.0,0.12,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-36.0,-36.0,-106.0,-106.0,-13.200000000000001,-13.200000000000001,-106.0,-106.0
85,1.0,0.22,-1.0,1.0,195.0,195.0,-65.0,-65.0,130.8,130.8,60.8,60.8,130.8,130.8,19.0,19.0
215,-1.0,0.32,-1.0,1.0,-65.0,-65.0,195.0,195.0,74.8,74.8,144.8,144.8,13.999999999999996,13.999999999999996,144.8,144.8
42,1.0,0.36,-1.0,1.0,195.0,195.0,-65.0,-65.0,150.4,150.4,80.4,80.4,150.4,150.4,12.000000000000007,12.000000000000007
232,-1.0,0.16,-1.0,1.0,-65.0,-65.0,195.0,195.0,52.400000000000006,52.400000000000006,122.4,122.4,22.0,22.0,122.4,122.4
422,-1.0,0.46,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-123.0,-123.0,-53.0,-53.0,-123.0,-123.0,34.400000000000006,34.400000000000006
99,1.0,0.5,-1.0,1.0,195.0,195.0,-65.0,-65.0,170.0,170.0,100.0,100.0,170.0,170.0,5.0,5.0
372,1.0,0.46,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-53.0,-53.0,-123.0,-123.0,34.400000000000006,34.400000000000006,-123.0,-123.0
304,1.0,0.1,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-35.0,-35.0,-105.0,-105.0,-16.0,-16.0,-105.0,-105.0
440,-1.0,0.32,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-116.0,-116.0,-46.0,-46.0,-116.0,-116.0,14.800000000000002,14.800000000000002
290,1.0,0.32,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-46.0,-46.0,-116.0,-116.0,14.800000000000002,14.800000000000002,-116.0,-116.0
171,-1.0,0.44,-1.0,1.0,-65.0,-65.0,195.0,195.0,91.6,91.6,161.6,161.6,8.0,8.0,161.6,161.6
243,-1.0,0.38,-1.0,1.0,-65.0,-65.0,195.0,195.0,83.2,83.2,153.2,153.2,11.0,11.0,153.2,153.2
450,-1.0,0.02,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-101.0,-101.0,-31.0,-31.0,-101.0,-101.0,-27.200000000000003,-27.200000000000003
347,1.0,0.46,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-53.0,-53.0,-123.0,-123.0,34.400000000000006,34.400000000000006,-123.0,-123.0
44,1.0,0.4,-1.0,1.0,195.0,195.0,-65.0,-65.0,156.0,156.0,86.0,86.0,156.0,156.0,10.0,10.0
79,1.0,0.1,-1.0,1.0,195.0,195.0,-65.0,-65.0,114.0,114.0,44.0,44.0,114.0,114.0,25.0,25.0
410,-1.0,0.22,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-111.0,-111.0,-41.0,-41.0,-111.0,-111.0,0.7999999999999972,0.7999999999999972
409,-1.0,0.2,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-110.0,-110.0,-40.0,-40.0,-110.0,-110.0,-2.0,-2.0
112,1.0,0.26,-1.0,1.0,195.0,195.0,-65.0,-65.0,136.4,136.4,66.4,66.4,136.4,136.4,17.000000000000004,17.000000000000004
328,1.0,0.08,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-34.0,-34.0,-104.0,-104.0,-18.799999999999997,-18.799999999999997,-104.0,-104.0
60,1.0,0.22,-1.0,1.0,195.0,195.0,-65.0,-65.0,130.8,130.8,60.8,60.8,130.8,130.8,19.0,19.0
58,1.0,0.18,-1.0,1.0,195.0,195.0,-65.0,-65.0,125.19999999999999,125.19999999999999,55.2,55.2,125.19999999999999,125.19999999999999,21.000000000000004,21.000000000000004
250,1.0,0.02,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-31.0,-31.0,-101.0,-101.0,-27.200000000000003,-27.200000000000003,-101.0,-101.0
341,1.0,0.34,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-47.0,-47.0,-117.0,-117.0,17.600000000000005,17.600000000000005,-117.0,-117.0
172,-1.0,0.46,-1.0,1.0,-65.0,-65.0,195.0,195.0,94.4,94.4,164.4,164.4,7.0,7.0,164.4,164.4
214,-1.0,0.3,-1.0,1.0,-65.0,-65.0,195.0,195.0,72.0,72.0,142.0,142.0,15.0,15.0,142.0,142.0
152,-1.0,0.06,-1.0,1.0,-65.0,-65.0,195.0,195.0,38.400000000000006,38.400000000000006,108.4,108.4,27.000000000000004,27.000000000000004,108.4,108.4
137,-1.0,0.26,-1.0,1.0,-65.0,-65.0,195.0,195.0,66.4,66.4,136.4,136.4,17.000000000000004,17.000000000000004,136.4,136.4
308,1.0,0.18,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-39.0,-39.0,-109.0,-109.0,-4.800000000000001,-4.800000000000001,-109.0,-109.0
315,1.0,0.32,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-46.0,-46.0,-116.0,-116.0,14.800000000000002,14.800000000000002,-116.0,-116.0
337,1.0,0.26,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-43.0,-43.0,-113.0,-113.0,6.400000000000002,6.400000000000002,-113.0,-113.0
56,1.0,0.14,-1.0,1.0,195.0,195.0,-65.0,-65.0,119.6,119.6,49.599999999999994,49.599999999999994,119.6,119.6,22.999999999999996,22.999999999999996
381,-1.0,0.14,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-107.0,-107.0,-37.0,-37.0,-107.0,-107.0,-10.399999999999999,-10.399999999999999
287,1.0,0.26,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-43.0,-43.0,-113.0,-113.0,6.400000000000002,6.400000000000002,-113.0,-113.0
29,1.0,0.1,-1.0,1.0,195.0,195.0,-65.0,-65.0,114.0,114.0,44.0,44.0,114.0,114.0,25.0,25.0
87,1.0,0.26,-1.0,1.0,195.0,195.0,-65.0,-65.0,136.4,136.4,66.4,66.4,136.4,136.4,17.000000000000004,17.000000000000004
177,-1.0,0.06,-1.0,1.0,-65.0,-65.0,195.0,195.0,38.400000000000006,38.400000000000006,108.4,108.4,27.000000000000004,27.000000000000004,108.4,108.4
72,1.0,0.46,-1.0,1.0,195.0,195.0,-65.0,-65.0,164.4,164.4,94.4,94.4,164.4,164.4,7.0,7.0
7,1.0,0.16,-1.0,1.0,195.0,195.0,-65.0,-65.0,122.4,122.4,52.400000000000006,52.400000000000006,122.4,122.4,22.0,22.0
185,-1.0,0.22,-1.0,1.0,-65.0,-65.0,195.0,195.0,60.8,60.8,130.8,130.8,19.0,19.0,130.8,130.8
71,1.0,0.44,-1.0,1.0,195.0,195.0,-65.0,-65.0,161.6,161.6,91.6,91.6,161.6,161.6,8.0,8.0
262,1.0,0.26,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-43.0,-43.0,-113.0,-113.0,6.400000000000002,6.400000000000002,-113.0,-113.0
25,1.0,0.02,-1.0,1.0,195.0,195.0,-65.0,-65.0,102.80000000000001,102.80000000000001,32.8,32.8,102.80000000000001,102.80000000000001,29.0,29.0
11,1.0,0.24,-1.0,1.0,195.0,195.0,-65.0,-65.0,133.6,133.6,63.599999999999994,63.599999999999994,133.6,133.6,17.999999999999996,17.999999999999996
326,1.0,0.04,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-32.0,-32.0,-102.0,-102.0,-24.4,-24.4,-102.0,-102.0
356,1.0,0.14,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-37.0,-37.0,-107.0,-107.0,-10.399999999999999,-10.399999999999999,-107.0,-107.0
395,-1.0,0.42,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-121.0,-121.0,-51.0,-51.0,-121.0,-121.0,28.799999999999997,28.799999999999997
8,1.0,0.18,-1.0,1.0,195.0,195.0,-65.0,-65.0,125.19999999999999,125.19999999999999,55.2,55.2,125.19999999999999,125.19999999999999,21.000000000000004,21.000000000000004
466,-1.0,0.34,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-117.0,-117.0,-47.0,-47.0,-117.0,-117.0,17.600000000000005,17.600000000000005
109,1.0,0.2,-1.0,1.0,195.0,195.0,-65.0,-65.0,128.0,128.0,58.0,58.0,128.0,128.0,20.0,20.0
97,1.0,0.46,-1.0,1.0,195.0,195.0,-65.0,-65.0,164.4,164.4,94.4,94.4,164.4,164.4,7.0,7.0
24,1.0,0.5,-1.0,1.0,195.0,195.0,-65.0,-65.0,170.0,170.0,100.0,100.0,170.0,170.0,5.0,5.0
369,1.0,0.4,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-50.0,-50.0,-120.0,-120.0,26.0,26.0,-120.0,-120.0
399,-1.0,0.5,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-125.0,-125.0,-55.0,-55.0,-125.0,-125.0,40.0,40.0
155,-1.0,0.12,-1.0,1.0,-65.0,-65.0,195.0,195.0,46.8,46.8,116.80000000000001,116.80000000000001,24.0,24.0,116.80000000000001,116.80000000000001
488,-1.0,0.28,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-114.0,-114.0,-44.0,-44.0,-114.0,-114.0,9.200000000000003,9.200000000000003
140,-1.0,0.32,-1.0,1.0,-65.0,-65.0,195.0,195.0,74.8,74.8,144.8,144.8,13.999999999999996,13.999999999999996,144.8,144.8
1,1.0,0.04,-1.0,1.0,195.0,195.0,-65.0,-65.0,105.6,105.6,35.6,35.6,105.6,105.6,28.0,28.0
485,-1.0,0.22,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-111.0,-111.0,-41.0,-41.0,-111.0,-111.0,0.7999999999999972,0.7999999999999972
400,-1.0,0.02,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-101.0,-101.0,-31.0,-31.0,-101.0,-101.0,-27.200000000000003,-27.200000000000003
301,1.0,0.04,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-32.0,-32.0,-102.0,-102.0,-24.4,-24.4,-102.0,-102.0
297,1.0,0.46,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-53.0,-53.0,-123.0,-123.0,34.400000000000006,34.400000000000006,-123.0,-123.0
367,1.0,0.36,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-48.0,-48.0,-118.0,-118.0,20.399999999999995,20.399999999999995,-118.0,-118.0
380,-1.0,0.12,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-106.0,-106.0,-36.0,-36.0,-106.0,-106.0,-13.200000000000001,-13.200000000000001
105,1.0,0.12,-1.0,1.0,195.0,195.0,-65.0,-65.0,116.80000000000001,116.80000000000001,46.8,46.8,116.80000000000001,116.80000000000001,24.0,24.0
285,1.0,0.22,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-41.0,-41.0,-111.0,-111.0,0.7999999999999972,0.7999999999999972,-111.0,-111.0
182,-1.0,0.16,-1.0,1.0,-65.0,-65.0,195.0,195.0,52.400000000000006,52.400000000000006,122.4,122.4,22.0,22.0,122.4,122.4
27,1.0,0.06,-1.0,1.0,195.0,195.0,-65.0,-65.0,108.4,108.4,38.400000000000006,38.400000000000006,108.4,108.4,27.000000000000004,27.000000000000004
173,-1.0,0.48,-1.0,1.0,-65.0,-65.0,195.0,195.0,97.19999999999999,97.19999999999999,167.2,167.2,5.999999999999993,5.999999999999993,167.2,167.2
263,1.0,0.28,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-44.0,-44.0,-114.0,-114.0,9.200000000000003,9.200000000000003,-114.0,-114.0
289,1.0,0.3,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-45.0,-45.0,-115.0,-115.0,12.0,12.0,-115.0,-115.0
327,1.0,0.06,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-33.0,-33.0,-103.0,-103.0,-21.6,-21.6,-103.0,-103.0
131,-1.0,0.14,-1.0,1.0,-65.0,-65.0,195.0,195.0,49.599999999999994,49.599999999999994,119.6,119.6,22.999999999999996,22.999999999999996,119.6,119.6
145,-1.0,0.42,-1.0,1.0,-65.0,-65.0,195.0,195.0,88.8,88.8,158.8,158.8,9.0,9.0,158.8,158.8
371,1.0,0.44,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-52.0,-52.0,-122.0,-122.0,31.599999999999998,31.599999999999998,-122.0,-122.0
210,-1.0,0.22,-1.0,1.0,-65.0,-65.0,195.0,195.0,60.8,60.8,130.8,130.8,19.0,19.0,130.8,130.8
303,1.0,0.08,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-34.0,-34.0,-104.0,-104.0,-18.799999999999997,-18.799999999999997,-104.0,-104.0
157,-1.0,0.16,-1.0,1.0,-65.0,-65.0,195.0,195.0,52.400000000000006,52.400000000000006,122.4,122.4,22.0,22.0,122.4,122.4
176,-1.0,0.04,-1.0,1.0,-65.0,-65.0,195.0,195.0,35.6,35.6,105.6,105.6,28.0,28.0,105.6,105.6
209,-1.0,0.2,-1.0,1.0,-65.0,-65.0,195.0,195.0,58.0,58.0,128.0,128.0,20.0,20.0,128.0,128.0
384,-1.0,0.2,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-110.0,-110.0,-40.0,-40.0,-110.0,-110.0,-2.0,-2.0
15,1.0,0.32,-1.0,1.0,195.0,195.0,-65.0,-65.0,144.8,144.8,74.8,74.8,144.8,144.8,13.999999999999996,13.999999999999996
178,-1.0,0.08,-1.0,1.0,-65.0,-65.0,195.0,195.0,41.2,41.2,111.19999999999999,111.19999999999999,26.0,26.0,111.19999999999999,111.19999999999999
181,-1.0,0.14,-1.0,1.0,-65.0,-65.0,195.0,195.0,49.599999999999994,49.599999999999994,119.6,119.6,22.999999999999996,22.999999999999996,119.6,119.6
307,1.0,0.16,-1.0,-1.0,-125.0,-125.0,-5.0,-5.0,-38.0,-38.0,-108.0,-108.0,-7.6,-7.6,-108.0,-108.0
402,-1.0,0.06,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-103.0,-103.0,-33.0,-33.0,-103.0,-103.0,-21.6,-21.6
494,-1.0,0.4,-1.0,-1.0,-5.0,-5.0,-125.0,-125.0,-120.0,-120.0,-50.0,-50.0,-120.0,-120.0,26.0,26.0
