,T,Age,Sex,yo1,y1,yo1CF,y1CF,yo2,y2,yo2CF,y2CF,yo3,y3,yo3CF,y3CF
320,1,-1,1,115,126.20453418594872,-105,-105.99890836709426,-120,-122.69693288977967,-150,-149.72665032384188,-120,-119.3982997935948,40,39.230875861682584
232,1,-1,1,115,121.75825379783574,-105,-107.34950189755835,-120,-115.08997707583552,-150,-137.48535394111593,-120,-123.54932871127914,40,35.8308119926191
98,-1,-1,1,-105,-107.56137840543069,115,122.21625615248692,-150,-142.5780085819187,-120,-122.53439675818296,40,36.93589460685629,-120,-127.97737134897804
403,1,-1,-1,-85,-82.2149363457812,75,64.42946333983559,60,58.61656125891516,30,25.258259543186405,-130,-129.92811278889096,30,22.487501504061242
366,1,-1,1,115,107.54701010632525,-105,-101.97759175975747,-120,-122.38947125595664,-150,-142.8212208376695,-120,-126.64865298574875,40,44.77873728037608
497,1,-1,-1,-85,-96.74229449467174,75,81.16679905822306,60,50.09813327351253,30,33.7127142650023,-130,-126.76707758062572,30,20.252305505726678
445,1,-1,-1,-85,-89.56759707563336,75,82.25057657116021,60,58.4383021682149,30,36.09418842294269,-130,-134.12859317960732,30,39.23474143553537
446,1,-1,1,115,109.70961448265948,-105,-104.81255386403731,-120,-127.44614048474331,-150,-147.64113968439005,-120,-116.95312131802446,40,32.24897530612032
173,1,-1,-1,-85,-87.53484964212977,75,80.39540566383883,60,60.23232914844968,30,30.367442609392874,-130,-132.17064624798982,30,33.98888097461115
8,-1,-1,1,-105,-105.73000958938744,115,115.68892998378888,-150,-135.9325556851763,-120,-118.44565541268572,40,36.51872422270081,-120,-116.67597757688803
443,1,-1,-1,-85,-93.51261220098732,75,74.55966945882354,60,64.23876607488444,30,28.342289614531754,-130,-137.5139386448183,30,26.809480706083875
9,-1,-1,-1,75,82.093277212796,-85,-90.70927829407024,30,32.60496717914536,60,60.76126093091553,30,30.51543593853125,-130,-129.09087815178117
58,-1,-1,1,-105,-103.7931553847413,115,111.21120231496369,-150,-152.5890219810183,-120,-124.20495300616138,40,40.6639571249197,-120,-123.716805811873
348,1,-1,1,115,116.73117499941081,-105,-103.14524066227077,-120,-115.19626400595665,-150,-146.59060824942256,-120,-116.80054323030485,40,36.91657999117895
26,-1,-1,1,-105,-106.45189820039755,115,118.5215198342028,-150,-154.37166912162127,-120,-124.89249832837342,40,40.59871449177019,-120,-113.01657302710993
159,1,-1,-1,-85,-80.30181951971214,75,82.97724594277308,60,57.663679378861886,30,27.6017400300453,-130,-131.2725667128126,30,38.02671768244535
365,1,-1,-1,-85,-79.99715079132294,75,67.41036319236635,60,44.16534805291057,30,29.41515530793475,-130,-126.58756251437309,30,18.618041635449227
479,1,-1,-1,-85,-86.13660240400247,75,81.94251489571396,60,65.13351753527094,30,32.940657713121176,-130,-127.23471549388333,30,24.148000750257946
233,1,-1,-1,-85,-90.64875637673465,75,72.97937306907579,60,51.83408899249588,30,27.460149098983972,-130,-132.77072897171044,30,29.13437544543191
102,1,-1,1,115,128.53541961421843,-105,-102.43252789366367,-120,-125.7372821959228,-150,-146.4501220511793,-120,-119.24036200516713,40,33.819500844347345
208,1,-1,1,115,119.44810822720888,-105,-103.64051837339414,-120,-117.84177936296018,-150,-155.1385244639698,-120,-117.9581753695565,40,37.88982642205088
203,1,-1,-1,-85,-86.82769169486298,75,74.92132357664082,60,66.32512383562853,30,32.61858432660582,-130,-130.52872260084678,30,27.66341958824316
157,1,-1,-1,-85,-87.37135015175218,75,84.7833511120226,60,50.43902367204742,30,29.40359929237716,-130,-136.98447151415567,30,31.031826395762955
422,1,-1,1,115,121.34650483741804,-105,-109.98168417179072,-120,-121.9687178864556,-150,-156.5255610839795,-120,-121.06076676806225,40,38.098327822762755
282,1,-1,1,115,109.11562450518961,-105,-103.11459236223703,-120,-108.52656299325429,-150,-155.33507003742125,-120,-110.58572832735234,40,48.68306603388221
76,-1,-1,1,-105,-109.73022229861563,115,118.74922484313414,-150,-147.27782976517977,-120,-118.89358389094444,40,47.05971242445802,-120,-117.79815962380218
174,1,-1,1,115,112.67328152267109,-105,-105.57281914003335,-120,-124.48778203595067,-150,-148.33937667881642,-120,-115.58613900342876,40,35.31162478284975
