,T,Age,Sex,yo1,y1,yo1CF,y1CF,yo2,y2,yo2CF,y2CF,yo3,y3,yo3CF,y3CF
319,1,-1,-1,-85,-84.76307714268123,75,74.7036573531089,60,55.189196598250064,30,29.70508438317239,-130,-128.45046597155675,30,32.39447139242045
220,1,-1,1,115,122.14852450180497,-105,-94.33226868244915,-120,-122.47032683754136,-150,-156.00654321907436,-120,-124.389437866415,40,34.76209229042993
225,1,-1,-1,-85,-85.72253402051246,75,75.88522125806891,60,66.80477692204026,30,30.75062935828743,-130,-128.71886075053388,30,22.55724487604024
452,1,-1,1,115,106.94562702405615,-105,-103.36755726126762,-120,-124.04537031231945,-150,-144.88368288596072,-120,-114.7537656400759,40,42.68636108393952
190,1,-1,1,115,114.61249379343019,-105,-113.28407190188786,-120,-116.2982285380902,-150,-145.49579296692716,-120,-123.19788626713421,40,45.74255921169383
433,1,-1,-1,-85,-87.30748800179893,75,68.00320876712071,60,65.80583368316917,30,23.425975015184605,-130,-141.41310709930738,30,30.95826144128385
29,1,-1,-1,-85,-84.15751316522977,75,71.31894190395684,60,56.7042606936412,30,26.18553450496167,-130,-123.32826997823459,30,31.489828693874088
15,-1,-1,-1,75,69.4072128945583,-85,-82.08114651036703,30,15.408804265916174,60,57.69182666465674,30,26.901815156217705,-130,-134.06163350703378
367,1,-1,-1,-85,-83.30492311369966,75,81.63740981264046,60,67.89992813063009,30,29.852332408037277,-130,-132.23734418002581,30,27.81565305086631
414,1,-1,1,115,109.15350186307438,-105,-94.67895229932085,-120,-119.73496400084679,-150,-144.1067376167179,-120,-123.24597410787011,40,36.312666783380706
215,1,-1,-1,-85,-87.70047871020756,75,78.70595208936977,60,67.50764013026684,30,39.12282577587594,-130,-130.10346897056309,30,36.70875662716266
281,1,-1,-1,-85,-80.48741384969622,75,73.8089662634041,60,65.16668147269574,30,30.887434246838545,-130,-134.4173685557969,30,28.83570915534326
53,1,-1,-1,-85,-91.40537841614503,75,85.86512221849979,60,61.434327239184306,30,29.69218945800851,-130,-132.3618076429387,30,30.23247774048326
380,1,-1,1,115,110.71091953494314,-105,-110.9958853785207,-120,-122.20430793293423,-150,-157.15862966611965,-120,-117.2990526861569,40,35.3797532166563
160,1,-1,1,115,117.05526963816718,-105,-107.28849589819575,-120,-120.90792598598378,-150,-156.38455239424843,-120,-107.62213336229489,40,38.50142912854859
400,1,-1,1,115,115.0061930669996,-105,-115.47734679283751,-120,-122.77847171210989,-150,-155.45424818275166,-120,-125.8151460451362,40,38.35096989295361
99,1,-1,-1,-85,-91.26147030637419,75,70.9931378142683,60,52.52136771367716,30,29.817354423840865,-130,-117.16758227436024,30,24.242344864357825
208,1,-1,1,115,119.06517987619621,-105,-102.98915346225661,-120,-126.64407661758541,-150,-143.3337548246506,-120,-115.72032219356645,40,41.366285862090464
226,1,-1,1,115,121.99923395580757,-105,-107.21381771710382,-120,-117.0302390422531,-150,-144.0117524698468,-120,-129.78027349400412,40,43.04829857403083
492,1,-1,1,115,117.64065359351582,-105,-102.87176153977201,-120,-126.5978126317461,-150,-148.7104705993449,-120,-128.81785149139574,40,33.61659025075615
