,T,Age,Sex,yo1,y1,yo1CF,y1CF,yo2,y2,yo2CF,y2CF,yo3,y3,yo3CF,y3CF
307,1,-1,-1,-85,-88.55253521007232,75,85.87878199564805,60,49.37358119404524,30,37.76620914272894,-130,-127.46476700484912,30,28.781734763314684
429,1,-1,-1,-85,-83.44202749838074,75,76.57990707167453,60,52.28203205235936,30,24.151763955007524,-130,-134.46191780083794,30,31.281734597182304
299,1,-1,-1,-85,-82.88151339482366,75,69.48596393816322,60,56.16344527330401,30,36.42111062412906,-130,-133.36837183803053,30,33.59794143794534
151,1,-1,-1,-85,-83.89459819978268,75,67.08535382975872,60,63.94371676142298,30,23.146408145813407,-130,-126.76228161614301,30,28.740902366459757
42,1,-1,1,115,110.04322608832958,-105,-104.13892545116839,-120,-118.06853261239777,-150,-149.1813022172311,-120,-125.75952057540607,40,35.818351727522526
95,1,-1,-1,-85,-82.00623501549941,75,81.225421629005,60,64.28356584963392,30,25.852032417297753,-130,-127.77720373065823,30,32.73944197335665
310,1,-1,1,115,114.33745937210657,-105,-95.51712362983213,-120,-120.93294791868853,-150,-143.85625930667607,-120,-118.00214428376896,40,42.29914187102606
39,1,-1,-1,-85,-85.63350464292581,75,77.97137714077843,60,59.75027705001093,30,27.491564334009123,-130,-123.1998111378745,30,34.27110475471649
393,1,-1,-1,-85,-78.96950839723318,75,81.33876536912567,60,58.198326000034704,30,21.76727808063295,-130,-134.21109535835333,30,30.52147049962901
474,1,-1,1,115,109.24310890907734,-105,-111.70325561265058,-120,-116.92360384299907,-150,-145.5325865354609,-120,-117.30271176264212,40,54.96200241334044
321,1,-1,-1,-85,-80.6490164249429,75,75.51176955761605,60,61.475910155392825,30,27.178050661474764,-130,-126.0405117908792,30,32.26307541686896
210,1,-1,1,115,106.68783123687835,-105,-99.38519959243762,-120,-112.36853916608482,-150,-158.2086984866118,-120,-117.07164949983172,40,39.019965423215744
158,1,-1,1,115,115.48471020169713,-105,-103.95784039351624,-120,-116.31474221850453,-150,-147.1075804652588,-120,-119.17393692966957,40,38.337817588494126
334,1,-1,1,115,112.60276516152085,-105,-101.25994539718195,-120,-112.328667315689,-150,-157.37872669418732,-120,-106.46851314178878,40,40.99146460352073
97,1,-1,-1,-85,-74.06382793403799,75,71.75325358761177,60,63.98208156707551,30,30.71087453891118,-130,-141.63606685908394,30,30.092736016994692
328,1,-1,1,115,112.51259645424514,-105,-105.45110332561681,-120,-118.25601131571115,-150,-144.78495765214456,-120,-127.01588989488185,40,36.76463626956442
142,1,-1,1,115,112.35742039168771,-105,-102.91247811103734,-120,-121.87341483190554,-150,-148.35841473396508,-120,-112.52937330963428,40,31.071445122366686
187,1,-1,-1,-85,-93.25173032039127,75,77.97721640380205,60,65.54894714308567,30,29.580892851228583,-130,-134.14365422524972,30,36.96323133844
12,-1,-1,1,-105,-106.86292108777914,115,122.9458442046057,-150,-153.06889710365928,-120,-121.19124624848524,40,36.24839524825887,-120,-121.84458632189934
172,1,-1,1,115,116.94941475250421,-105,-102.93739641541073,-120,-117.62807850557931,-150,-147.74635722390826,-120,-123.31180153025983,40,44.466874833748406
