,T,Age,Sex,yo1,y1,yo1CF,y1CF,yo2,y2,yo2CF,y2CF,yo3,y3,yo3CF,y3CF
103,1,-1,-1,-85,-95.71561439141,75,78.1761987178132,60,57.95362659073598,30,34.200854204129996,-130,-124.90097485809261,30,27.29366833471063
74,1,-1,1,115,121.46951103798554,-105,-104.85636279191147,-120,-116.4351821481041,-150,-146.5874600790503,-120,-120.09546169761222,40,36.948446078784436
208,1,-1,1,115,122.33640085273896,-105,-96.65869184674705,-120,-122.59616768819751,-150,-151.16115773749718,-120,-115.71868390535843,40,44.92412560303217
442,1,-1,1,115,109.31020219465853,-105,-109.47905698502613,-120,-114.94948686793717,-150,-147.2341768484098,-120,-125.95629085545309,40,30.33974334622522
443,1,-1,-1,-85,-94.28267061571636,75,80.82686183471176,60,60.53293004245644,30,30.806574903433194,-130,-133.44684319133952,30,29.243425310466673
468,1,-1,1,115,123.37777554664119,-105,-97.41438157657934,-120,-123.62141428335408,-150,-150.46336052968755,-120,-121.16656732456013,40,44.18097408962143
344,1,-1,1,115,111.16234073288018,-105,-118.36144060760576,-120,-123.46386779265367,-150,-158.38490391509708,-120,-118.19415975139566,40,41.078138735941565
157,1,-1,-1,-85,-84.19090101935976,75,79.62982759509197,60,61.04592446554469,30,19.05056367032801,-130,-127.9020906727358,30,31.618513989389452
127,1,-1,-1,-85,-91.33210153842897,75,79.53910156746588,60,61.388257157834,30,38.19346513011824,-130,-131.0834971599738,30,24.397094633738902
139,1,-1,-1,-85,-78.02297628295096,75,78.2499871696936,60,70.92165233123688,30,22.586429286535157,-130,-129.380796855835,30,27.847711492530053
117,1,-1,-1,-85,-86.50625811984298,75,75.72515817334823,60,60.512831565953874,30,34.05466480107573,-130,-138.16443627043478,30,33.92678773954349
387,1,-1,-1,-85,-76.55887835956803,75,86.63839971148883,60,65.93237150324244,30,28.636173678626328,-130,-128.74890065159042,30,23.335296695563343
461,1,-1,-1,-85,-86.65024691194301,75,74.04016300106314,60,52.4665910177447,30,24.566083992358692,-130,-132.18936065775281,30,28.97461527589331
59,1,-1,-1,-85,-80.86597815439379,75,76.73262888528389,60,54.25907145842777,30,22.353407108380864,-130,-131.7158262703059,30,36.747478941922154
244,1,-1,1,115,113.82046993960176,-105,-110.6488794598465,-120,-116.88504328409213,-150,-153.91145739351765,-120,-125.45178897107172,40,41.15646489109464
123,1,-1,-1,-85,-90.58412341040163,75,79.6846643060788,60,50.640292983537286,30,27.116700685157284,-130,-129.76117112584805,30,32.67935890212673
359,1,-1,-1,-85,-82.1534757458208,75,82.61767569483551,60,54.70499098547474,30,32.08036036241046,-130,-132.87211220169965,30,19.00063961269828
51,1,-1,-1,-85,-79.09462006992753,75,78.9001100684424,60,66.0745827523536,30,24.81171263372117,-130,-126.4738003264419,30,30.304235080034033
330,1,-1,1,115,115.0194884585439,-105,-109.36722215727225,-120,-115.84842098790344,-150,-154.80007740906188,-120,-112.91698460058275,40,38.74449135406778
336,1,-1,1,115,117.83319659490778,-105,-100.8238642989665,-120,-122.20099500178998,-150,-154.30608947055774,-120,-127.78461041321509,40,41.004942640062914
398,1,-1,1,115,110.01922296359275,-105,-109.54455977093093,-120,-124.95575888877067,-150,-143.62596724751816,-120,-121.65912579551004,40,44.667393976866975
458,1,-1,1,115,114.75663125589607,-105,-111.32482746660267,-120,-123.95348293749974,-150,-149.29302842087617,-120,-119.67512235619931,40,43.810325198257495
420,1,-1,1,115,107.45500499669689,-105,-103.9360418202999,-120,-115.03069316919668,-150,-145.75202067290422,-120,-118.1014852615697,40,43.274290277316574
382,1,-1,1,115,117.71636751912142,-105,-94.1132744514477,-120,-115.96180601953853,-150,-140.5853066567631,-120,-121.48976078652363,40,36.348017628346184
286,1,-1,1,115,115.83847770153291,-105,-102.81071638932318,-120,-114.08789707952249,-150,-153.43138134811278,-120,-113.96843162795923,40,47.06760269555889
178,1,-1,1,115,127.67223512743075,-105,-105.96877791693315,-120,-118.57885944135322,-150,-144.89653030806446,-120,-123.99823942481197,40,34.25429115746796
10,-1,-1,1,-105,-109.0287376440756,115,116.71958090685753,-150,-150.59483768659277,-120,-115.12982513255001,40,33.9155005274126,-120,-121.52449507048311
228,1,-1,1,115,112.65594357913834,-105,-112.44202552913423,-120,-118.70448899524692,-150,-157.18162789631543,-120,-115.04150656544265,40,39.46058018737212
158,1,-1,1,115,120.73517789420423,-105,-105.67695072220732,-120,-117.48456937554029,-150,-150.9812028705601,-120,-115.23381310754881,40,41.66953078628331
292,1,-1,1,115,109.12119224301252,-105,-106.67104405039684,-120,-118.28364521343948,-150,-150.35832342008098,-120,-118.94133350259149,40,34.13925994728351
494,1,-1,1,115,112.73882425022207,-105,-103.34113247820551,-120,-108.48852855098825,-150,-145.19823775526794,-120,-115.81013166354403,40,41.28592846700822
171,1,-1,-1,-85,-86.78119690492306,75,71.58261019799511,60,59.20407246100708,30,27.019562873290464,-130,-140.47557359443593,30,34.49219941672762
185,1,-1,-1,-85,-90.78588352824738,75,73.44093884932782,60,59.53393700944395,30,30.506155456335556,-130,-120.15758995983688,30,28.80988745137912
238,1,-1,1,115,119.59108764639531,-105,-95.91956097266434,-120,-124.92293422521062,-150,-151.96239688744987,-120,-116.88850356053027,40,36.78654171532499
427,1,-1,-1,-85,-87.9899040301023,75,77.85404192327422,60,61.00392980268503,30,37.41087182574193,-130,-130.16629111231836,30,28.50550422653759
56,1,-1,1,115,115.71189275975678,-105,-113.0394952183813,-120,-111.99178187657665,-150,-149.4600708873342,-120,-119.14652139069283,40,38.41510291848601
271,1,-1,-1,-85,-79.14207862327073,75,80.1739983267347,60,59.10926651929044,30,24.095611536329198,-130,-130.2484728034631,30,32.90986712895292
12,-1,-1,1,-105,-109.73506552758033,115,117.81465818375054,-150,-150.13709533249278,-120,-113.49876778398391,40,42.222630970515105,-120,-118.5620566484342
77,1,-1,-1,-85,-82.99835216413175,75,74.93050827765946,60,59.221430238252104,30,25.7393125327544,-130,-137.35879963006266,30,17.846576315414822
38,1,-1,1,115,119.50798653662333,-105,-115.63787334974728,-120,-122.65416267307451,-150,-150.45697921159442,-120,-120.92609982136975,40,45.70004619660791
435,1,-1,-1,-85,-89.98121507296247,75,69.23297299329666,60,63.87701250383115,30,29.561164376979534,-130,-133.23282966579114,30,35.35127827567452
401,1,-1,-1,-85,-78.42097555382462,75,69.36263834698678,60,55.297434601766355,30,33.35144609944181,-130,-126.86339676451306,30,25.337857623804286
395,1,-1,-1,-85,-78.04435603901497,75,68.54264501671827,60,64.90453269869116,30,36.75467805599274,-130,-135.45368603459298,30,35.410787421961174
477,1,-1,-1,-85,-85.78118683146316,75,78.44748158231886,60,56.949405961862105,30,35.55718204975422,-130,-129.7157814541147,30,32.70485228288145
444,1,-1,1,115,126.6665857125337,-105,-108.15204675404067,-120,-121.08178576375427,-150,-145.53552288173483,-120,-116.87935703639032,40,38.4356445826354
95,1,-1,-1,-85,-87.79301310207073,75,72.62307828037714,60,55.07415437822044,30,35.915012708375805,-130,-130.35031389888601,30,29.29501354727468
193,1,-1,-1,-85,-77.78600444845739,75,88.12576118698811,60,53.93214215232965,30,29.507295802687782,-130,-133.88853645240565,30,31.5988268057988
28,1,-1,1,115,121.25631346768746,-105,-108.7689100221265,-120,-119.37706581443932,-150,-149.4514150852856,-120,-127.79060136366866,40,40.43059132665486
120,1,-1,1,115,113.67250604560617,-105,-99.53853551220365,-120,-120.35323639716705,-150,-152.09720861897273,-120,-113.4848494407783,40,51.05251324414007
140,1,-1,1,115,120.38872545565721,-105,-102.23971319635311,-120,-113.24865773451306,-150,-153.77284657824316,-120,-109.9554187913173,40,32.39672839928084
129,1,-1,-1,-85,-84.19368349830405,75,78.53541151131539,60,70.75288769714174,30,26.352834020236443,-130,-129.0214265136042,30,26.615818221733463
480,1,-1,1,115,106.32078549821006,-105,-103.72406010921793,-120,-118.18809219877653,-150,-144.0355840719098,-120,-118.21748583470632,40,38.25846867867073
390,1,-1,1,115,116.04109347997203,-105,-106.88614828079872,-120,-123.0189212882512,-150,-146.73070069589158,-120,-119.67502759104013,40,36.19504531161529
96,1,-1,1,115,120.52527724833092,-105,-104.860654307065,-120,-132.7773569119159,-150,-147.63790962802184,-120,-119.16959829633326,40,35.31911509068428
102,1,-1,1,115,115.06639786130049,-105,-94.87574367367574,-120,-113.71109672433874,-150,-156.42615153013637,-120,-125.7284085374663,40,30.197180780033065
192,1,-1,1,115,117.57880995274706,-105,-100.45398651626257,-120,-113.59581422197418,-150,-154.9909693173873,-120,-116.87485229715776,40,40.32065656753168
138,1,-1,1,115,111.90836098448813,-105,-99.97248538194839,-120,-121.46727545112057,-150,-146.25406554405598,-120,-127.04452237291966,40,40.0915245765989
242,1,-1,1,115,118.57749285579581,-105,-109.1875027224717,-120,-121.67837892730161,-150,-146.31392003383525,-120,-117.37320250166474,40,36.90191957785965
394,1,-1,1,115,105.90034404853168,-105,-110.76147654976134,-120,-122.60289690918654,-150,-149.26757601077526,-120,-125.61085110434263,40,45.21152755174333
17,-1,-1,-1,75,69.02074541440936,-85,-83.79049353316428,30,28.932241904122524,60,62.72207503406472,30,31.908365259206906,-130,-129.69227381941292
64,1,-1,1,115,113.55699247957192,-105,-108.7893163100894,-120,-119.62769787901297,-150,-147.3688900520455,-120,-131.92196855336073,40,35.428312946461354
448,1,-1,1,115,119.47832064058207,-105,-107.4568366050554,-120,-118.42013553473535,-150,-147.20688804780917,-120,-120.5153607318912,40,41.22017545861367
492,1,-1,1,115,126.31366336187044,-105,-98.88931229411693,-120,-121.19799341683981,-150,-151.29019597859397,-120,-114.44329820423634,40,36.57032355437868
25,1,-1,-1,-85,-82.17148870490217,75,73.37633230840423,60,58.09646424072904,30,27.67214288429162,-130,-136.20047817310476,30,29.91158605717659
489,1,-1,-1,-85,-95.10709641529219,75,81.76973930051088,60,64.97089841260487,30,20.235942334218137,-130,-134.24480766640278,30,37.53272917450437
288,1,-1,1,115,107.50554159349375,-105,-113.85515233292621,-120,-114.37795730964667,-150,-151.10679457798827,-120,-118.91713786645975,40,42.86495876844091
85,1,-1,-1,-85,-75.12703736439809,75,70.60319854529172,60,60.85302637364322,30,36.89763767224807,-130,-127.35419646101114,30,24.979732246292762
297,1,-1,-1,-85,-86.05028713956693,75,86.2885445662895,60,55.94543979383919,30,28.467177723082024,-130,-131.79409573866792,30,29.06719711557398
190,1,-1,1,115,114.60588346872198,-105,-96.45651518455162,-120,-122.07723733331453,-150,-154.74377666192026,-120,-119.9367587135077,40,46.62966408055739
342,1,-1,1,115,121.45969983120143,-105,-100.30867041740129,-120,-119.6924439210383,-150,-147.94938530195478,-120,-108.0699675323894,40,37.78067901101711
163,1,-1,-1,-85,-85.67528675208382,75,66.77459282629661,60,59.19222401003557,30,21.43979423557178,-130,-127.70774421287364,30,30.55086663654025
295,1,-1,-1,-85,-89.88223424432526,75,79.1084744137745,60,55.106767668587175,30,37.75301021296069,-130,-126.81690662008695,30,30.173632449577983
312,1,-1,1,115,115.01515818770548,-105,-99.35663702870352,-120,-130.34862842369782,-150,-147.82816843849903,-120,-118.62377411026395,40,41.20621353662162
485,1,-1,-1,-85,-87.36189901689353,75,66.4221669175296,60,59.363480933852216,30,30.496122262858414,-130,-131.45794818496694,30,25.55727144517455
255,1,-1,-1,-85,-87.70670532420483,75,78.50798648270542,60,59.925648647135475,30,22.413391786068743,-130,-128.23894526289897,30,28.13667713943059
