,T,Age,AgeTag,Sex,yo1,y1,yo1CF,y1CF,yo2,y2,yo2CF,y2CF,yo3,y3,yo3CF,y3CF
466,1.0,0.38,-1.0,-1.0,-160.0,-169.2807248200141,140.0,146.2956407868797,2.0,1.569390255355652,-98.0,-96.38494502887713,154.0,149.50079026151255,-98.0,-108.8975915005338
262,1.0,0.44,-1.0,-1.0,-160.0,-149.95864501438834,140.0,136.7616270589099,-4.0,-0.9335906978549295,-104.0,-113.84802553476479,172.0,168.5235921463525,-104.0,-104.019836229557
416,1.0,0.32,-1.0,-1.0,-160.0,-170.72514690181546,140.0,132.38831027213277,8.0,6.492496088600342,-92.0,-89.15840172799474,136.0,138.38669639742832,-92.0,-92.73653791229891
0,1.0,0.12,-1.0,1.0,260.0,262.2468777472348,-240.0,-243.16557366322033,96.0,94.05414809047615,-4.0,-7.648431798728248,96.0,94.97868082859777,-52.0,-51.14438972034879
97,1.0,0.28,-1.0,1.0,260.0,250.41138126261882,-240.0,-243.5647209007444,144.0,144.039992765644,44.000000000000014,47.29451384951692,144.0,140.92923676434913,-68.0,-72.15329535814091
277,1.0,0.32,-1.0,-1.0,-160.0,-157.54647664484605,140.0,137.15387667225465,8.0,5.512110829603849,-92.0,-94.89084430244445,136.0,130.1015645604013,-92.0,-95.20039148626505
150,1.0,0.22,-1.0,1.0,260.0,258.12630210014623,-240.0,-240.06874952996648,126.0,128.24987968719307,26.0,22.259864190923796,126.0,125.52542692361737,-62.0,-60.58531871086683
428,1.0,0.38,-1.0,-1.0,-160.0,-158.50044933331722,140.0,138.4973637630567,2.0,18.276410337248766,-98.0,-99.15329428837556,154.0,158.81179093927062,-98.0,-87.45371371804747
467,1.0,0.24,-1.0,-1.0,-160.0,-156.56974054169743,140.0,139.9232319319288,16.0,8.535848417369778,-84.0,-90.51935156747855,112.0,118.90340874390137,-84.0,-95.54394034881997
18,1.0,0.3,-1.0,1.0,260.0,258.3366214936788,-240.0,-238.52565784130445,150.0,143.21346743029528,50.0,59.548005262490726,150.0,149.6653923413911,-70.0,-72.22015849495287
