,T,Age,AgeTag,Sex,yo1,y1,yo1CF,y1CF,yo2,y2,yo2CF,y2CF,yo3,y3,yo3CF,y3CF
6,1.0,0.22,-1.0,1.0,195.0,192.4643667672146,-65.0,-66.22623455061913,130.8,133.82448670826645,60.8,63.421619004661586,130.8,125.278570516046,19.0,17.545078499861184
285,1.0,0.3,-1.0,-1.0,-125.0,-127.50477112492518,-5.0,-6.767437927758562,-45.0,-45.86812831317544,-115.0,-116.90689982150938,12.0,7.122240277562973,-115.0,-111.99528916588841
56,1.0,0.5,-1.0,1.0,195.0,188.28635531467245,-65.0,-72.09824625319607,170.0,168.10317471431802,100.0,100.79840189489424,170.0,161.88770042687173,5.0,2.0509117286129652
81,1.0,0.04,-1.0,1.0,195.0,197.7308743193105,-65.0,-66.76701281024981,105.6,112.01871766757017,35.6,34.982375478200524,105.6,104.6596789629302,28.0,28.67726395887365
120,1.0,0.36,-1.0,1.0,195.0,187.16887700670807,-65.0,-62.449700547487595,150.4,149.925967494353,80.4,80.03393771553858,150.4,150.01822417343683,12.000000000000007,9.020630983668873
462,1.0,0.34,-1.0,-1.0,-125.0,-128.52146630252537,-5.0,-7.685616121919592,-47.0,-48.66269061102804,-117.0,-114.36665467650371,17.600000000000005,18.814281403677796,-117.0,-120.65125468106501
301,1.0,0.02,-1.0,-1.0,-125.0,-114.32123627621398,-5.0,-9.520291509022234,-31.0,-28.237865153782376,-101.0,-109.77398810902106,-27.200000000000003,-31.815967372456313,-101.0,-103.56027136893589
486,-1.0,0.04,-1.0,-1.0,-5.0,-4.580228031410911,-125.0,-129.3161113058089,-102.0,-104.74265770992521,-32.0,-29.736071816213506,-102.0,-102.56792148183746,-24.4,-19.343440591405788
175,1.0,0.24,-1.0,1.0,195.0,193.9702603713446,-65.0,-61.69810133700919,133.6,128.89032118032188,63.599999999999994,66.79168289053453,133.6,141.5861106373533,17.999999999999996,14.55533420334456
328,1.0,0.34,-1.0,-1.0,-125.0,-121.99213508852203,-5.0,-8.363284437208534,-47.0,-44.33341227323961,-117.0,-112.85857862708262,17.600000000000005,16.479543802016966,-117.0,-123.94670081277121
178,1.0,0.1,-1.0,1.0,195.0,198.6199455682929,-65.0,-64.07005108965195,114.0,121.39886489526535,44.0,41.37958679984557,114.0,109.34265437556364,25.0,18.45456191050864
67,1.0,0.32,-1.0,1.0,195.0,184.41598322537334,-65.0,-59.46655907692671,144.8,137.996905758861,74.8,71.25732450798259,144.8,147.46637434239287,13.999999999999996,6.150472050281683
211,1.0,0.08,-1.0,1.0,195.0,200.44107319397182,-65.0,-65.5557754745987,111.19999999999999,117.07015890546685,41.2,41.06190967912141,111.19999999999999,106.4031369937515,26.0,27.10792440481155
202,1.0,0.4,-1.0,1.0,195.0,198.67435836296374,-65.0,-66.82214133928704,156.0,144.19059982503876,86.0,88.15926508797357,156.0,159.8737382449798,10.0,10.058263867566021
198,1.0,0.24,-1.0,-1.0,-125.0,-120.58336027313975,-5.0,-6.12756199314059,-42.0,-43.37488368314865,-112.0,-121.7315903501122,3.599999999999998,5.150134368225489,-112.0,-114.10654937432487
148,1.0,0.16,-1.0,1.0,195.0,195.51069150425525,-65.0,-67.36761346832293,122.4,114.5762121233546,52.400000000000006,56.09181392347235,122.4,116.59206361850859,22.0,26.833939378820567
162,1.0,0.48,-1.0,1.0,195.0,190.14499251571058,-65.0,-61.316281874330066,167.2,168.41875925458913,97.19999999999999,100.94636956320284,167.2,167.30516201152184,5.999999999999993,6.5013710042868835
431,1.0,0.34,-1.0,-1.0,-125.0,-116.55014721369866,-5.0,-4.445970338070481,-47.0,-47.94840047689305,-117.0,-114.2695809228968,17.600000000000005,17.12065773869219,-117.0,-118.25236900906762
